dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
citeseer,False,False,0.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.325,0.352,0.3689533770084381,0.4127992749214172,0.9943474769592285,70.267,3.93534,12431.0,0.9943474378569708,70.267
citeseer,False,False,0.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.261,0.076,0.5269729942083359,0.2528724268078804,0.5063149511814118,6136.999,0.84974,12431.0,0.5063149384603012,6136.999
citeseer,False,False,0.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.6559999999999999,0.156,0.5910463929176331,0.44277589917182925,0.9943474769592285,70.267,3.93715,12431.0,0.9943474378569708,70.267
citeseer,False,False,0.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.29500000000000004,0.040999999999999995,0.492823588848114,0.28177110850811005,0.846547144651413,1907.5729999999999,0.00477,12431.0,0.846547099991956,1907.5729999999999
citeseer,False,False,0.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.458,0.045,0.54957115650177,0.20570647716522217,0.47835189998149874,6484.608,0.33684,12431.0,0.47835186227978443,6484.608
citeseer,False,False,0.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.8119999999999999,0.004,0.6529377698898315,0.07138213887810707,0.9943474769592285,70.267,0.96022,12431.0,0.9943474378569708,70.267
citeseer,False,False,0.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.5044444444444445,0.051111111111111114,0.5626577536265055,0.19899730053212908,0.0001042309070018948,12429.704444444444,0.8481222222222222,12431.0,0.00010421973739483009,12429.704444444444
citeseer,False,False,0.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.719,0.011,0.6367100656032563,0.045465143583714965,0.9880541741847992,148.499,22.605439999999998,12431.0,0.9880541388464327,148.499
citeseer,False,False,0.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.314,0.30900000000000005,0.541767007112503,0.5390724897384643,8.046627044677734e-05,12430.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,False,0.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.501,0.156,0.5162814050912857,0.20005858242511748,0.6548152327537536,4290.992,0.03956,12431.0,0.6548152200144801,4290.992
citeseer,False,False,0.7,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.329,0.367,0.36470495760440824,0.4181855976581573,0.9943474769592285,70.267,3.8685099999999997,12431.0,0.9943474378569708,70.267
citeseer,False,False,0.7,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.261,0.076,0.5269729942083359,0.2528724268078804,0.8055349588394165,2417.3959999999997,0.88634,12431.0,0.5063149384603012,6136.999
citeseer,False,False,0.7,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.666,0.147,0.592498368024826,0.43671147227287294,0.9943474769592285,70.267,3.7277099999999996,12431.0,0.9943474378569708,70.267
citeseer,False,False,0.7,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.29700000000000004,0.044,0.4928217649459839,0.2823589205741882,0.9522383987903595,593.725,0.00484,12431.0,0.846547099991956,1907.5729999999999
citeseer,False,False,0.7,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.46299999999999997,0.051000000000000004,0.5496239542961121,0.20750633925199508,0.84232257604599,1960.089,0.31947000000000003,12431.0,0.47835186227978443,6484.608
