dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
actor,False,False,0.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.7220000000000001,0.312,0.15006926357746125,0.08824936933815479,0.9709446251392364,1769.9959999999999,1769.9959999999999,5.6847791296307815,0.7139873621339443,1769.9959999999999,5.6847791296307815,0.7139873621339443,3.79272,60918.0,0.9709446140713748,1769.9959999999999
actor,False,False,0.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.687,0.18205958902835845,0.15118318647146226,8.016359788598493e-05,60913.117000000006,60913.117000000006,10.958437063433099,0.11757938133309491,60913.117000000006,10.958437063433099,0.11757938133309491,0.74688,60918.0,8.015693226961495e-05,60913.117000000006
actor,False,False,0.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.836,0.753,0.17833995223045349,0.17574750483036042,0.9709446251392364,1769.9959999999999,1769.9959999999999,5.007442225880174,0.06281507252005063,1769.9959999999999,5.007442225880174,0.06281507252005063,3.76496,60918.0,0.9709446140713748,1769.9959999999999
actor,False,False,0.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.77,0.693,0.17444603741168976,0.15299156084656715,0.4197691082954407,35346.504,35346.504,8.168174080586713,0.11636329199613445,35346.504,8.168174080586713,0.11636329199613445,0.00529,60918.0,0.4197691322761747,35346.504
actor,False,False,0.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.828,0.64,0.18033081591129302,0.140814358741045,0.03061283537754207,59053.126000000004,59053.126000000004,10.742004079489838,0.18547557739113266,59053.126000000004,10.742004079489838,0.18547557739113266,0.25437,60918.0,0.030612856626941097,59053.126000000004
actor,False,False,0.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.859,0.144,0.19481810480356215,0.05487191155552864,0.9709446251392364,1769.9959999999999,1769.9959999999999,6.102230872901976,0.8415122570329364,1769.9959999999999,6.102230872901976,0.8415122570329364,3.4539999999999997,60918.0,0.9709446140713748,1769.9959999999999
actor,False,False,0.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.763,0.689,0.17048838138580322,0.149097540974617,0.7192480862140656,17102.845999999998,17102.845999999998,8.567082397067887,0.0018793424549053313,17102.845999999998,8.567082397067887,0.0018793424549053313,0.84923,60918.0,0.7192480711776487,17102.845999999998
actor,False,False,0.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.8370000000000001,0.61,0.18341562300920486,0.1266352117061615,0.8912602066993713,6624.210000000001,6624.210000000001,7.774606529655403,0.24288721006210104,6624.210000000001,7.774606529655403,0.24288721006210104,33.559039999999996,60918.0,0.8912602186545848,6624.210000000001
actor,False,False,0.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.853,0.845,0.2002081885933876,0.19855642169713975,0.0010182383586652577,60855.971,60855.971,10.824150478608555,0.5029355975396914,60855.971,10.824150478608555,0.5029355975396914,0.00058,60918.0,0.0010182376309136871,60855.971
actor,False,False,0.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.6990000000000001,0.45600000000000007,0.1500638335943222,0.07661641724407672,0.46897798776626587,32348.798,32348.798,9.190020577076869,0.5558703428249955,32348.798,9.190020577076869,0.5558703428249955,0.02247,60918.0,0.4689780032174399,32348.798
actor,False,False,0.7,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.737,0.306,0.15373191088438035,0.08556559756398201,0.9709446251392364,1769.9959999999999,1769.9959999999999,5.675414609515227,0.7151440761430269,1769.9959999999999,5.675414609515227,0.7151440761430269,3.8485799999999997,60918.0,0.9709446140713748,1769.9959999999999
actor,False,False,0.7,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.82,0.687,0.1820453882217407,0.1511875458061695,0.7000064849853516,18275.0,60913.117000000006,10.958437063433099,0.11757938133309491,18275.0,9.781908252776914,0.16689725438912945,0.7377,60918.0,8.015693226961495e-05,60913.117000000006
