dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
citeseer,False,False,0.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.34,0.09,0.5111208558082581,0.24513426423072815,0.5269769430160522,5880.15,0.9906,12431.0,0.5269769125573167,5880.15
citeseer,False,False,0.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.49,0.02,0.49164795875549316,0.2415536493062973,0.9944823980331421,68.59,1.2559,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.83,0.01,0.6196697354316711,0.09933897852897644,0.9944823980331421,68.59,1.1656,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.53,0.03,0.5488944053649902,0.1741933822631836,0.00010217606904916465,12429.73,1.0584,12431.0,0.00010216394497623348,12429.73
citeseer,False,False,0.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.73,0.01,0.6080889105796814,0.03893027454614639,0.9880276322364807,148.83,28.4269,12431.0,0.9880275118654979,148.83
citeseer,False,False,0.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.16,0.23,0.3922025263309479,0.38736987113952637,8.046627044677734e-05,12430.0,0.0001,12431.0,8.044405116236497e-05,12430.0
citeseer,False,False,0.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.47,0.22,0.34908226132392883,0.28214073181152344,0.999570369720459,5.34,249.5604,12431.0,0.9995704287667934,5.34
citeseer,False,False,0.7,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.34,0.09,0.5111208558082581,0.24513423442840576,0.8137101531028748,2315.77,0.6682,12431.0,0.5269769125573167,5880.15
citeseer,False,False,0.7,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.49,0.03,0.4938957989215851,0.26920706033706665,0.9944823980331421,68.59,1.2345,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.7,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.83,0.01,0.6196697354316711,0.09933897852897644,0.9944823980331421,68.59,1.1892,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.7,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.53,0.03,0.5488944053649902,0.1741933822631836,0.7000242471694946,3729.0,1.1331,12431.0,0.00010216394497623348,12429.73
citeseer,False,False,0.7,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.73,0.01,0.6080889105796814,0.03893027454614639,0.9880276322364807,148.83,30.0483,12431.0,0.9880275118654979,148.83
citeseer,False,False,0.7,random,100.0,-1.0,-1.0,-1.0,-1.0,0.18,0.52,0.19842121005058289,0.5392251014709473,0.7000242471694946,3729.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,False,0.7,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.47,0.22,0.34908226132392883,0.28214073181152344,0.999570369720459,5.34,261.4561,12431.0,0.9995704287667934,5.34
