dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
citeseer,False,False,0.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.35,0.23,0.441888689994812,0.3495693504810333,0.9944823980331421,68.59,0.7983,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.34,0.09,0.5111208558082581,0.24513426423072815,0.5269769430160522,5880.15,0.99,12431.0,0.5269769125573167,5880.15
citeseer,False,False,0.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.61,0.08,0.5720558166503906,0.3993709981441498,0.9944823980331421,68.59,0.7438,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.34,0.08,0.48618757724761963,0.2669669985771179,0.8474066257476807,1896.89,0.0065,12431.0,0.8474064837905242,1896.89
citeseer,False,False,0.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.44,0.02,0.5070890188217163,0.2239656299352646,0.4983155131340027,6236.44,0.3346,12431.0,0.49831550156865917,6236.44
citeseer,False,False,0.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.81,0.0,0.6220241785049438,0.07985419034957886,0.9944823980331421,68.59,0.9959,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.74,0.0,0.6138014793395996,0.030585192143917084,0.9878016114234924,151.64,20.2126,12431.0,0.9878014640817314,151.64
citeseer,False,False,0.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.39,0.31,0.5126698017120361,0.5305429697036743,8.046627044677734e-05,12430.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,False,False,0.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.47,0.2,0.4775844216346741,0.202387735247612,0.6356672048568726,4529.02,0.0489,12431.0,0.6356672834043923,4529.02
citeseer,False,False,0.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.47,0.22,0.34908226132392883,0.2821407616138458,0.999570369720459,5.34,323.0098,12431.0,0.9995704287667934,5.34
citeseer,False,False,0.7,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.35,0.25,0.44062501192092896,0.3475448489189148,0.9944823980331421,68.59,1.574,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.7,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.34,0.09,0.5111208558082581,0.24513426423072815,0.8137101531028748,2315.77,1.0106,12431.0,0.5269769125573167,5880.15
citeseer,False,False,0.7,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.58,0.09,0.561760425567627,0.40799155831336975,0.9944823980331421,68.59,0.7427,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.7,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.34,0.08,0.4863527715206146,0.2672206163406372,0.9523981213569641,591.74,0.0044,12431.0,0.8474064837905242,1896.89
citeseer,False,False,0.7,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.44,0.02,0.5072763562202454,0.2247677445411682,0.8482874035835266,1885.94,0.3202,12431.0,0.49831550156865917,6236.44
citeseer,False,False,0.7,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.81,0.0,0.6220241785049438,0.07985419034957886,0.9944823980331421,68.59,1.1927,12431.0,0.9944823425307701,68.59
citeseer,False,False,0.7,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.53,0.03,0.5488944053649902,0.1741933822631836,0.7000242471694946,3729.0,0.9608,12431.0,0.00010216394497623348,12429.73
citeseer,False,False,0.7,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.74,0.0,0.6138014793395996,0.030585195869207382,0.9878016114234924,151.64,30.1862,12431.0,0.9878014640817314,151.64
citeseer,False,False,0.7,random,100.0,-1.0,-1.0,-1.0,-1.0,0.15,0.67,0.3641747236251831,0.6024942994117737,0.7000242471694946,3729.0,0.0002,12431.0,8.044405116236497e-05,12430.0
