dataset,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
citeseer,0.0,distance,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,0.5269769430160522,5880.15,0.8628,12431.0,0.5269769125573167,5880.15
citeseer,0.0,gnnexplainer,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,0.9944823980331421,68.59,0.6132,12431.0,0.9944823425307701,68.59
citeseer,0.0,ig,100.0,0.61,-0.08,0.47373050451278687,-0.13559427857398987,0.2998439371585846,8703.64,0.3729,12431.0,0.29984393854074465,8703.64
citeseer,0.0,occlusion,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,0.9944823980331421,68.59,0.965,12431.0,0.9944823425307701,68.59
citeseer,0.0,pagerank,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,0.00010217606904916465,12429.73,0.8635,12431.0,0.00010216394497623348,12429.73
citeseer,0.0,pgmexplainer,100.0,0.48,0.02,0.4173773229122162,-0.05000541731715202,0.9881716370582581,147.04,20.6862,12431.0,0.9881715067170783,147.04
citeseer,0.0,random,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,8.046627044677734e-05,12430.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,0.0,sa,100.0,0.36,0.14,0.27335289120674133,0.09532655775547028,0.589877724647522,5098.23,0.0412,12431.0,0.5898777250422331,5098.23
citeseer,0.7,distance,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,0.8137101531028748,2315.77,0.8449,12431.0,0.5269769125573167,5880.15
citeseer,0.7,gnnexplainer,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,0.9944823980331421,68.59,0.6514,12431.0,0.9944823425307701,68.59
citeseer,0.7,ig,100.0,0.61,-0.13,0.48612502217292786,-0.15479017794132233,0.7892060875892639,2620.38,0.3462,12431.0,0.29984393854074465,8703.64
citeseer,0.7,occlusion,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,0.9944823980331421,68.59,1.026,12431.0,0.9944823425307701,68.59
citeseer,0.7,pagerank,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,0.7000242471694946,3729.0,0.7109,12431.0,0.00010216394497623348,12429.73
citeseer,0.7,pgmexplainer,100.0,0.48,0.02,0.4173773229122162,-0.05000541731715202,0.9881716370582581,147.04,20.6441,12431.0,0.9881715067170783,147.04
citeseer,0.7,random,100.0,0.02,0.27,-0.02728978358209133,0.19421924650669098,0.7000242471694946,3729.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,0.7,sa,100.0,0.33,0.17,0.24526575207710266,0.11870165169239044,0.8758901357650757,1542.81,0.0442,12431.0,0.5898777250422331,5098.23
citeseer,0.99,distance,100.0,0.45,0.02,0.3852255344390869,-0.046409111469984055,0.9935107231140137,80.67,0.7277,12431.0,0.5269769125573167,5880.15
citeseer,0.99,gnnexplainer,100.0,0.4,0.05,0.3383302688598633,-0.02018030174076557,0.9970670938491821,36.46,0.6388,12431.0,0.9944823425307701,68.59
citeseer,0.99,ig,100.0,0.56,-0.12,0.451791375875473,-0.14638298749923706,0.9923080205917358,95.62,0.3498,12431.0,0.29984393854074465,8703.64
citeseer,0.99,occlusion,100.0,0.41,0.02,0.3483002185821533,-0.03946922346949577,0.9970670938491821,36.46,0.9603,12431.0,0.9944823425307701,68.59
citeseer,0.99,pagerank,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,0.9900250434875488,124.0,1.004,12431.0,0.00010216394497623348,12429.73
citeseer,0.99,pgmexplainer,100.0,0.46,0.02,0.39362403750419617,-0.05000541731715202,0.9958813190460205,51.2,29.4854,12431.0,0.9881715067170783,147.04
citeseer,0.99,random,100.0,0.02,0.46,-0.04308687150478363,0.40749648213386536,0.9900250434875488,124.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,0.99,sa,100.0,0.33,0.17,0.24526575207710266,0.11870165169239044,0.9948387742042542,64.16,0.0439,12431.0,0.5898777250422331,5098.23
citeseer,0.997,distance,100.0,0.39,0.03,0.3244337737560272,-0.03557002916932106,0.9978602528572083,26.6,0.7452,12431.0,0.5269769125573167,5880.15
citeseer,0.997,gnnexplainer,100.0,0.35,0.05,0.2866199314594269,-0.007408958859741688,0.9983662962913513,20.31,0.616,12431.0,0.9944823425307701,68.59
citeseer,0.997,ig,100.0,0.52,-0.09,0.416467547416687,-0.11981966346502304,0.9974973797798157,31.11,0.3847,12431.0,0.29984393854074465,8703.64
citeseer,0.997,occlusion,100.0,0.34,0.02,0.2912846505641937,-0.037298157811164856,0.9983662962913513,20.31,0.9247,12431.0,0.9944823425307701,68.59
citeseer,0.997,pagerank,100.0,0.48,0.02,0.4173773229122162,-0.046409111469984055,0.9970236420631409,37.0,0.9186,12431.0,0.00010216394497623348,12429.73
citeseer,0.997,pgmexplainer,100.0,0.4,0.03,0.33232221007347107,-0.0421907939016819,0.9981353878974915,23.18,20.5068,12431.0,0.9881715067170783,147.04
citeseer,0.997,random,100.0,0.02,0.46,-0.04308706149458885,0.41499024629592896,0.9970236420631409,37.0,0.0002,12431.0,8.044405116236497e-05,12430.0
citeseer,0.997,sa,100.0,0.33,0.17,0.24812155961990356,0.116709403693676,0.9981659054756165,22.8,0.0418,12431.0,0.5898777250422331,5098.23
cora,0.0,distance,100.0,0.74,0.02,0.645821750164032,-0.025481587275862694,0.09579086303710938,11993.43,0.2955,13264.0,0.09579086248492169,11993.43
cora,0.0,gnnexplainer,100.0,0.74,0.02,0.645821750164032,-0.025481587275862694,0.9854152798652649,193.45,0.6089,13264.0,0.98541541013269,193.45
cora,0.0,ig,100.0,0.75,-0.06,0.6663891077041626,-0.11737439781427383,0.2292928546667099,10222.66,0.181,13264.0,0.2292928226779251,10222.66
cora,0.0,occlusion,100.0,0.74,0.02,0.645821750164032,-0.025481587275862694,0.9854152798652649,193.45,0.5784,13264.0,0.98541541013269,193.45
cora,0.0,pagerank,100.0,0.74,0.02,0.645821750164032,-0.025481587275862694,7.539987564086914e-05,13263.0,0.3569,13264.0,7.539203860074117e-05,13263.0
cora,0.0,pgmexplainer,100.0,0.74,0.01,0.645821750164032,-0.03536815568804741,0.9702940583229065,394.02,11.6945,13264.0,0.9702940289505428,394.02
cora,0.0,random,100.0,0.74,0.02,0.645821750164032,-0.025481587275862694,7.539987564086914e-05,13263.0,0.0002,13264.0,7.539203860074117e-05,13263.0
cora,0.0,sa,100.0,0.32,0.4,0.2540120482444763,0.33683547377586365,0.7105556726455688,3839.19,0.0089,13264.0,0.7105556393244875,3839.19
