,explainer_name,charact_prob_phen_hard,charact_prob_phen_soft,charact_prob_gnn_hard,charact_prob_gnn_soft
7,pgexplainer,0.0043215850078320945,0.0003657770014151112,0.07641935610692979,0.0010701187812982244
0,basic_gnnexplainer,0.04377547236179735,0.02314108223734397,0.1617556825319506,0.05228237788355548
11,subgraphx,-0.00770813061669406,0.028071436232395355,0.12597910131408185,0.0692966522539014
9,random,0.01422608501423992,0.05749574794961706,0.11722002733773192,0.10411452545740545
1,distance,0.08183308755342736,0.06750267361583996,0.19560648488211624,0.11357140596068316
8,pgmexplainer,0.09781335492583829,0.11167764917460718,0.20703056104241893,0.1603206109427421
6,pagerank,0.15886721064171577,0.11855578356525216,0.26547715241055353,0.18461154170923708
3,gradcam,0.1817377095300397,0.12653054407323544,0.2737538969761024,0.1769139635522991
2,gnnexplainer,0.10961770781247415,0.1403066808469726,0.20412782943433969,0.20309055711954546
4,ig,0.18100357396073596,0.1528271898986988,0.2777831905771115,0.252967624217892
5,occlusion,0.2038007598019013,0.15540522102836993,0.2934195008389444,0.2204420365197175
10,sa,0.23508714451552706,0.226492360366217,0.31617784153258455,0.30939012347304573
