dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test_x,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,num_test_init,mask_size_init,mask_entropy_init,max_avg_init,num_test_transf,mask_size_transf,mask_entropy_transf,max_avg_transf,num_test_y,time,number_of_edges
actor,False,False,1.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.0,0.42,0.0025034218560904264,0.11322107166051865,100.0,1208.43,5.300965852400096,0.6968892712283418,100.0,1.0,0.0,1.0,100.0,3.827,60918.0
actor,False,False,1.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.07,0.39,0.016934525221586227,0.10646554827690125,100.0,60913.74,10.960461184489214,0.11051127355757114,100.0,1.0,0.0,1.0,100.0,0.8971,60918.0
actor,False,False,1.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.43,0.41,0.07458572089672089,0.09805335104465485,100.0,1208.43,4.69075435832716,0.05112460597643841,100.0,1.0,0.0,1.0,100.0,7.4523,60918.0
actor,False,False,1.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.16,0.38,0.03729555755853653,0.08207131177186966,100.0,39772.57,8.478163950565396,0.14973729711491457,100.0,1.0,0.0,1.0,100.0,0.0079,60918.0
actor,False,False,1.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.5,0.17280106246471405,0.13855907320976257,100.0,60917.0,11.01476696813395,0.36380117192274913,100.0,1.0,0.0,1.0,100.0,0.3854,60918.0
actor,False,False,1.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.38,0.39,0.062185304860273995,0.08337577680746715,100.0,1208.25,5.610678486842599,0.4792969125654347,100.0,1.0,0.0,1.0,100.0,2.8098,60918.0
actor,False,False,1.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.15,0.38,0.038394805043935776,0.08138994872570038,100.0,16493.8,8.544326611459688,0.001299857828665019,100.0,1.0,0.0,1.0,100.0,0.9544,60918.0
actor,False,False,1.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.15,0.38,0.03878951445221901,0.08139128983020782,100.0,5271.79,7.569454427365218,0.23813143848503673,100.0,1.0,0.0,1.0,100.0,53.0106,60918.0
actor,False,False,1.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.2,0.17280106246471405,0.11094699800014496,100.0,43841.5,9.959901408525296,0.7147165552001702,100.0,1.0,0.0,1.0,100.0,0.0374,60918.0
actor,False,False,1.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.1,0.3333333333333333,0.04085022583603859,0.07361666858196259,100.0,1.2,0.09241962407465937,1.0,100.0,1.0,0.0,1.0,100.0,2282.6549,60918.0
actor,False,False,5.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.05,0.41,0.014256665483117104,0.10640005022287369,100.0,1208.43,5.300965852400096,0.6968892712283418,100.0,5.0,1.569599166231896,0.9741420478762497,100.0,3.827,60918.0
actor,False,False,5.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.23,0.38,0.05135183408856392,0.08078894019126892,100.0,60913.74,10.960461184489214,0.11051127355757114,100.0,5.0,1.5738826781553346,0.8757945238095239,100.0,0.8971,60918.0
actor,False,False,5.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.39,0.4,0.08212917298078537,0.08228417485952377,100.0,1208.43,4.69075435832716,0.05112460597643841,100.0,5.0,1.2980411584216167,0.46951702540039675,100.0,7.4523,60918.0
actor,False,False,5.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.33,0.07429476082324982,0.0591617189347744,100.0,39772.57,8.478163950565396,0.14973729711491457,100.0,5.0,1.5279222702917377,0.6026874011438997,100.0,0.0079,60918.0
actor,False,False,5.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.5,0.1727995127439499,0.15042351186275482,100.0,60917.0,11.01476696813395,0.36380117192274913,100.0,5.0,1.5844166284034058,0.8095362321902938,100.0,0.3854,60918.0
actor,False,False,5.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.59,0.3,0.09673560907443364,0.05319958180189133,100.0,1208.25,5.610678486842599,0.4792969125654347,100.0,4.99,1.4965882498627605,0.5591905466581159,100.0,2.8098,60918.0
actor,False,False,5.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.17,0.33,0.06641127169132233,0.0602252297103405,100.0,16493.8,8.544326611459688,0.001299857828665019,100.0,5.0,1.5748741146840592,0.6396122293092459,100.0,0.9544,60918.0
actor,False,False,5.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.17,0.38,0.04715400189161301,0.0756133571267128,100.0,5271.79,7.569454427365218,0.23813143848503673,100.0,5.0,1.6069092728549526,0.9171391097489228,100.0,53.0106,60918.0
actor,False,False,5.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.1,0.17280106246471405,0.10289107263088226,100.0,43841.5,9.959901408525296,0.7147165552001702,100.0,5.0,1.6092434574305092,0.9859242630004882,100.0,0.0374,60918.0
actor,False,False,5.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.1,0.3333333333333333,0.04175779968500137,0.07060451060533524,100.0,1.2,0.09241962407465937,1.0,100.0,1.2,0.09241962407465937,1.0,100.0,2282.6549,60918.0
actor,False,False,10.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.07,0.41,0.02125496417284012,0.1004144549369812,100.0,1208.43,5.300965852400096,0.6968892712283418,100.0,9.97,2.1733814113364813,0.9213092808130847,100.0,3.827,60918.0
actor,False,False,10.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.26,0.36,0.06084652990102768,0.0751110315322876,100.0,60913.74,10.960461184489214,0.11051127355757114,100.0,10.0,2.243569202713353,0.6491546230158727,100.0,0.8971,60918.0
actor,False,False,10.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.38,0.39,0.08789011090993881,0.0733317881822586,100.0,1208.43,4.69075435832716,0.05112460597643841,100.0,9.97,1.7405601862742133,0.37893665623846984,100.0,7.4523,60918.0
actor,False,False,10.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.44,0.31,0.08303053677082062,0.05480487644672394,100.0,39772.57,8.478163950565396,0.14973729711491457,100.0,9.94,2.1048678977463484,0.4032238202283516,100.0,0.0079,60918.0
actor,False,False,10.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.7,0.4,0.17279355227947235,0.14379264414310455,100.0,60917.0,11.01476696813395,0.36380117192274913,100.0,10.0,2.2536349829013753,0.6254801094897934,100.0,0.3854,60918.0
actor,False,False,10.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.67,0.27,0.10447872926791509,0.0496339350938797,100.0,1208.25,5.610678486842599,0.4792969125654347,100.0,9.91,2.1493499852676345,0.5188017099205271,100.0,2.8098,60918.0
actor,False,False,10.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.24,0.33,0.07588335126638412,0.057495150715112686,100.0,16493.8,8.544326611459688,0.001299857828665019,100.0,10.0,2.227462584242092,0.45783103115555285,100.0,0.9544,60918.0
actor,False,False,10.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.35,0.051615651696920395,0.06936141848564148,100.0,5271.79,7.569454427365218,0.23813143848503673,100.0,10.0,2.2974624938954533,0.8714548842430037,100.0,53.0106,60918.0
actor,False,False,10.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.8,0.0,0.18539270758628845,0.1117204800248146,100.0,43841.5,9.959901408525296,0.7147165552001702,100.0,10.0,2.302265856700278,0.9816952927589415,100.0,0.0374,60918.0
actor,False,False,10.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.1,0.3333333333333333,0.04175779968500137,0.07060451060533524,100.0,1.2,0.09241962407465937,1.0,100.0,1.2,0.09241962407465937,1.0,100.0,2282.6549,60918.0
actor,False,False,15.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.09,0.4,0.02223135530948639,0.09869115799665451,100.0,1208.43,5.300965852400096,0.6968892712283418,100.0,14.85,2.487842340644894,0.8406117930674771,100.0,3.827,60918.0
actor,False,False,15.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.28,0.35,0.06456221640110016,0.07071972638368607,100.0,60913.74,10.960461184489214,0.11051127355757114,100.0,15.0,2.640806383830423,0.5966646097883596,100.0,0.8971,60918.0
actor,False,False,15.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.37,0.08986831456422806,0.06881312280893326,100.0,1208.43,4.69075435832716,0.05112460597643841,100.0,14.85,1.9804321206481024,0.3028715730571813,100.0,7.4523,60918.0
actor,False,False,15.0,gradcam,100.0,-1.0,-1.0,-1.0,-1.0,0.47,0.31,0.08555395156145096,0.05455396696925163,100.0,39772.57,8.478163950565396,0.14973729711491457,100.0,14.66,2.4293064543168343,0.34666929129725504,100.0,0.0079,60918.0
