dataset,sparsity,explainer_name,hard_mask,num_test,f1_score,recall,precision,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn1,0.0,distance,False,100.0,0.005822614151863316,1.0,0.002919807532391842,0.28,0.64,0.10292523354291916,0.3580780327320099,0.010138681158423424,4068.33,0.0127,4110.0,0.010138686131386854,4068.33
syn1,0.0,distance,True,100.0,0.005822614151863316,1.0,0.002919807532391842,0.76,0.0,0.5117431879043579,0.0,0.010138681158423424,4068.33,0.0135,4110.0,0.010138686131386854,4068.33
syn1,0.0,gnnexplainer,False,100.0,0.4441573500781577,1.0,0.3289400028728593,0.56,0.56,0.29619014263153076,0.3488776385784149,0.9534306526184082,191.4,2.6306,4110.0,0.9534306569343063,191.4
syn1,0.0,gnnexplainer,True,100.0,0.4441573500781577,1.0,0.3289400028728593,0.76,0.0,0.5117431879043579,0.0,0.9534306526184082,191.4,2.7273,4110.0,0.9534306569343063,191.4
syn1,0.0,ig,False,100.0,0.005099381151219657,0.8733333333333333,0.0025571567157788868,0.35,0.64,0.04280632361769676,0.41274234652519226,0.0024866133462637663,4099.78,0.1824,4110.0,0.0024866180048661603,4099.78
syn1,0.0,ig,True,100.0,0.005099381151219657,0.8733333333333333,0.0025571567157788868,0.76,0.0,0.5117431879043579,-0.05139784887433052,0.0024866133462637663,4099.78,0.1803,4110.0,0.0024866180048661603,4099.78
syn1,0.0,occlusion,False,100.0,0.00582241630276565,1.0,0.002919708029197079,1.0,0.34,0.7200649976730347,0.006493816152215004,0.00024330615997314453,4109.0,0.4051,4110.0,0.00024330900243307862,4109.0
syn1,0.0,occlusion,True,100.0,0.00582241630276565,1.0,0.002919708029197079,0.64,0.0,0.4105982482433319,-0.08175893127918243,0.00024330615997314453,4109.0,0.3813,4110.0,0.00024330900243307862,4109.0
syn1,0.0,pagerank,False,100.0,0.005825242718446604,1.0,0.0029211295034079847,0.76,0.24,0.4903973639011383,0.08831493556499481,0.00048661231994628906,4108.0,0.0222,4110.0,0.00048661800486615725,4108.0
syn1,0.0,pagerank,True,100.0,0.005825242718446604,1.0,0.0029211295034079847,0.76,0.0,0.5117431879043579,0.0,0.00048661231994628906,4108.0,0.0192,4110.0,0.00048661800486615725,4108.0
syn1,0.0,pgmexplainer,False,100.0,0.12926164626890727,0.9883333333333333,0.07968732292739722,0.81,0.17,0.5634238123893738,0.03307982534170151,0.8516983985900879,609.52,3.5961,4110.0,0.8516982968369827,609.52
syn1,0.0,pgmexplainer,True,100.0,0.12926164626890727,0.9883333333333333,0.07968732292739722,0.76,0.0,0.5117430686950684,-0.0030957055278122425,0.8516983985900879,609.52,5.1197,4110.0,0.8516982968369827,609.52
syn1,0.0,random,False,100.0,0.00582241630276565,1.0,0.002919708029197079,0.45,0.55,0.22965721786022186,0.30210041999816895,0.00024330615997314453,4109.0,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,0.0,random,True,100.0,0.00582241630276565,1.0,0.002919708029197079,0.76,0.0,0.5117431879043579,-0.0009954506531357765,0.00024330615997314453,4109.0,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,0.0,sa,False,100.0,0.020878199611103643,0.8733333333333333,0.010848469724307017,0.0,1.0,-0.04134596511721611,0.6418781876564026,0.21480777859687805,3227.14,0.0032,4110.0,0.21480778588807772,3227.14
syn1,0.0,sa,True,100.0,0.020878199611103643,0.8733333333333333,0.010848469724307017,0.76,0.24,0.5037340521812439,0.20542991161346436,0.21480777859687805,3227.14,0.0029,4110.0,0.21480778588807772,3227.14
syn1,0.0,subgraphx,False,100.0,0.7669397269397268,0.7599999999999999,0.8121428571428573,0.68,0.32,0.4450083076953888,0.13580887019634247,0.9973966479301453,10.7,0.55,4110.0,0.9973965936739666,10.7
syn1,0.0,subgraphx,True,100.0,0.7669397269397268,0.7599999999999999,0.8121428571428573,0.68,0.32,0.4450083076953888,0.13580887019634247,0.9973966479301453,10.7,0.4795,4110.0,0.9973965936739666,10.7
syn1,0.7,distance,False,100.0,0.011804155334503236,1.0,0.0059371702096967195,0.28,0.64,0.10325295478105545,0.3521976172924042,0.6999997496604919,1233.0,0.0126,4110.0,0.010138686131386854,4068.33
syn1,0.7,distance,True,100.0,0.011804155334503236,1.0,0.0059371702096967195,0.76,0.0,0.5117431879043579,-0.0012853342341259122,0.6999997496604919,1233.0,0.0133,4110.0,0.010138686131386854,4068.33
syn1,0.7,gnnexplainer,False,100.0,0.4441594742759341,0.9983333333333333,0.32894114739118874,0.51,0.56,0.28516075015068054,0.34443560242652893,0.9555158019065857,182.83,5.4951,4110.0,0.9534306569343063,191.4
syn1,0.7,gnnexplainer,True,100.0,0.44417958014167214,1.0,0.32895125985822077,0.76,0.0,0.5117430686950684,-0.0003994405269622803,0.9555158019065857,182.83,5.4003,4110.0,0.9534306569343063,191.4
syn1,0.7,ig,False,100.0,0.0031211807276847027,0.24333333333333332,0.0015706691590055349,0.01,0.99,-0.05269541218876839,0.681580662727356,0.6999997496604919,1233.0,0.2795,4110.0,0.0024866180048661603,4099.78
syn1,0.7,ig,True,100.0,0.0031211807276847027,0.24333333333333332,0.0015706691590055349,0.01,0.75,-0.08216071128845215,0.5953426361083984,0.6999997496604919,1233.0,0.273,4110.0,0.0024866180048661603,4099.78
syn1,0.7,occlusion,False,100.0,0.005108798367743675,0.4066666666666666,0.0025705672566556535,0.64,0.36,0.509010910987854,0.11190396547317505,0.6999997496604919,1233.0,0.5741,4110.0,0.00024330900243307862,4109.0
syn1,0.7,occlusion,True,100.0,0.005108798367743675,0.4066666666666666,0.0025705672566556535,0.64,0.36,0.5090251564979553,0.11175522953271866,0.6999997496604919,1233.0,0.4183,4110.0,0.00024330900243307862,4109.0
syn1,0.7,pagerank,False,100.0,0.01926163723916533,1.0,0.009724473257698542,0.76,0.24,0.4903973639011383,0.08831493556499481,0.6999997496604919,1233.0,0.0234,4110.0,0.00048661800486615725,4108.0
syn1,0.7,pagerank,True,100.0,0.01926163723916533,1.0,0.009724473257698542,0.76,0.0,0.5117431879043579,-0.00011197388084838167,0.6999997496604919,1233.0,0.0198,4110.0,0.00048661800486615725,4108.0
syn1,0.7,pgmexplainer,False,100.0,0.1301701547124554,0.975,0.08014947114422605,0.81,0.17,0.5635755658149719,0.032698944211006165,0.8834185004234314,479.15,3.761,4110.0,0.8516982968369827,609.52
syn1,0.7,pgmexplainer,True,100.0,0.1301701547124554,0.975,0.08014947114422605,0.76,0.0,0.5117431879043579,-0.004261807072907686,0.8834185004234314,479.15,3.2176,4110.0,0.8516982968369827,609.52
syn1,0.7,random,False,100.0,0.005762316416101924,0.5066666666666666,0.0028976369052395885,0.32,0.67,0.14600402116775513,0.4295879304409027,0.6999997496604919,1233.0,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,0.7,random,True,100.0,0.005762316416101924,0.5066666666666666,0.0028976369052395885,0.39,0.65,0.17757456004619598,0.4138329029083252,0.6999997496604919,1233.0,0.0,4110.0,0.00024330900243307862,4109.0
syn1,0.7,sa,False,100.0,0.017188879222754125,0.24,0.008998421038815292,0.0,1.0,-0.03281780704855919,0.7018595337867737,0.7464378476142883,1042.14,0.0043,4110.0,0.21480778588807772,3227.14
syn1,0.7,sa,True,100.0,0.017188879222754125,0.24,0.008998421038815292,0.0,0.76,-0.09171943366527557,0.6034626364707947,0.7464378476142883,1042.14,0.0028,4110.0,0.21480778588807772,3227.14
syn1,0.7,subgraphx,False,100.0,0.7669397269397268,0.7599999999999999,0.8121428571428573,0.68,0.32,0.4450083076953888,0.13580887019634247,0.9973966479301453,10.7,0.4916,4110.0,0.9973965936739666,10.7
syn1,0.7,subgraphx,True,100.0,0.7669397269397268,0.7599999999999999,0.8121428571428573,0.68,0.32,0.4450083076953888,0.13580887019634247,0.9973966479301453,10.7,0.6486,4110.0,0.9973965936739666,10.7
syn1,0.99,distance,False,100.0,0.30474995432323826,1.0,0.17986758305472728,0.28,0.5,0.11697050929069519,0.3086692988872528,0.9900243282318115,41.0,0.0125,4110.0,0.010138686131386854,4068.33
syn1,0.99,distance,True,100.0,0.30474995432323826,1.0,0.17986758305472728,0.76,0.01,0.5117431879043579,-0.0026002172380685806,0.9900243282318115,41.0,0.0137,4110.0,0.010138686131386854,4068.33
syn1,0.99,gnnexplainer,False,100.0,0.4356823684279756,0.7716666666666667,0.32515807147665343,0.44,0.59,0.2083432823419571,0.36123302578926086,0.9918321967124939,33.57,2.6262,4110.0,0.9534306569343063,191.4
syn1,0.99,gnnexplainer,True,100.0,0.4439093436086498,0.7983333333333333,0.3300467040802295,0.62,0.34,0.371958464384079,0.24138472974300385,0.9918321967124939,33.57,5.5205,4110.0,0.9534306569343063,191.4
syn1,0.99,ig,False,100.0,0.09207864036343735,0.24333333333333332,0.05688662835165834,0.01,0.99,-0.05297759547829628,0.6824474930763245,0.9900243282318115,41.0,0.1651,4110.0,0.0024866180048661603,4099.78
syn1,0.99,ig,True,100.0,0.09207864036343735,0.24333333333333332,0.05688662835165834,0.01,0.75,-0.08244290202856064,0.5956946015357971,0.9900243282318115,41.0,0.1407,4110.0,0.0024866180048661603,4099.78
syn1,0.99,occlusion,False,100.0,0.10492751204706366,0.4033333333333334,0.0603331993210042,0.64,0.36,0.5090110898017883,0.11190338432788849,0.9900243282318115,41.0,0.5513,4110.0,0.00024330900243307862,4109.0
syn1,0.99,occlusion,True,100.0,0.10492751204706366,0.4033333333333334,0.0603331993210042,0.64,0.36,0.5090251564979553,0.11175369471311569,0.9900243282318115,41.0,0.4629,4110.0,0.00024330900243307862,4109.0
syn1,0.99,pagerank,False,100.0,0.4444444444444445,1.0,0.2857142857142856,0.76,0.24,0.49039745330810547,0.09017055481672287,0.9900243282318115,41.0,0.0205,4110.0,0.00048661800486615725,4108.0
syn1,0.99,pagerank,True,100.0,0.4444444444444445,1.0,0.2857142857142856,0.76,0.0,0.5117431879043579,-0.004732513800263405,0.9900243282318115,41.0,0.0219,4110.0,0.00048661800486615725,4108.0
syn1,0.99,pgmexplainer,False,100.0,0.3370821943633943,0.7749999999999999,0.2173213342315157,0.69,0.35,0.4588533043861389,0.1976729929447174,0.9902847409248352,39.93,3.7724,4110.0,0.8516982968369827,609.52
syn1,0.99,pgmexplainer,True,100.0,0.3370821943633943,0.7749999999999999,0.2173213342315157,0.66,0.24,0.41888493299484253,0.15437617897987366,0.9902847409248352,39.93,3.7767,4110.0,0.8516982968369827,609.52
syn1,0.99,random,False,100.0,0.0038575393154486586,0.015,0.0022134146341463417,0.02,0.76,0.0032034465111792088,0.5117431879043579,0.9900243282318115,41.0,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,0.99,random,True,100.0,0.0038575393154486586,0.015,0.0022134146341463417,0.02,0.76,0.0032269612420350313,0.5117431879043579,0.9900243282318115,41.0,0.0,4110.0,0.00024330900243307862,4109.0
syn1,0.99,sa,False,100.0,0.09466863364484907,0.24,0.059105781841014234,0.0,1.0,-0.03281780704855919,0.7024234533309937,0.9900243282318115,41.0,0.0029,4110.0,0.21480778588807772,3227.14
syn1,0.99,sa,True,100.0,0.09466863364484907,0.24,0.059105781841014234,0.0,0.76,-0.09171943366527557,0.6036243438720703,0.9900243282318115,41.0,0.0027,4110.0,0.21480778588807772,3227.14
syn1,0.99,subgraphx,False,100.0,0.7669397269397268,0.7599999999999999,0.8121428571428573,0.68,0.32,0.4450083076953888,0.13580887019634247,0.9973966479301453,10.7,0.4832,4110.0,0.9973965936739666,10.7
syn1,0.99,subgraphx,True,100.0,0.7669397269397268,0.7599999999999999,0.8121428571428573,0.68,0.32,0.445008248090744,0.13580875098705292,0.9973966479301453,10.7,0.6371,4110.0,0.9973965936739666,10.7
syn1,0.997,distance,False,100.0,0.7907500897795015,0.925,0.6966428571428572,0.41,0.57,0.1475684493780136,0.3472127616405487,0.9970800876617432,12.0,0.0204,4110.0,0.010138686131386854,4068.33
syn1,0.997,distance,True,100.0,0.7907500897795015,0.925,0.6966428571428572,0.7,0.45,0.451587975025177,0.2148778736591339,0.9970800876617432,12.0,0.0136,4110.0,0.010138686131386854,4068.33
