dataset,true_label_as_target,hard_mask,sparsity,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_sparsity,expl_edges,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn1,False,False,0.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.54,0.446,0.49493185579776766,0.39260636568069457,0.9415250301361084,240.33200000000002,240.33200000000002,3.357377702685079,0.29698203297361486,240.33200000000002,3.357377702685079,0.29698203297361486,3.5769100000000003,4110.0,0.9415250608272506,240.33200000000002
syn1,False,False,0.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.601,0.608,0.5373459607362747,0.5614639848470688,0.01260510627180338,4058.193,4058.193,8.182582653402623,0.07770348901801463,4058.193,8.182582653402623,0.07770348901801463,0.0132,4110.0,0.012605109489051086,4058.193
syn1,False,False,0.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.5650000000000001,0.515,0.5172041714191437,0.46729686856269836,0.9415250301361084,240.33200000000002,240.33200000000002,3.358048154384922,0.29300247599255747,240.33200000000002,3.358048154384922,0.29300247599255747,4.18271,4110.0,0.9415250608272506,240.33200000000002
syn1,False,False,0.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.31,0.635,0.29989944249391554,0.558281409740448,0.06115571081172675,3858.65,3858.65,7.993792485485241,0.6033893473384715,3858.65,7.993792485485241,0.6033893473384715,0.16951,4110.0,0.06115571776155711,3858.65
syn1,False,False,0.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.628,0.374,0.5869441837072372,0.3153666727244854,0.002191237866645679,4100.994000000001,4100.994000000001,8.300095441428002,0.8710886596717881,4100.994000000001,8.300095441428002,0.8710886596717881,0.53933,4110.0,0.002191240875912398,4100.994000000001
syn1,False,False,0.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.756,0.161,0.635320383310318,0.14955370277166366,0.27019708454608915,2999.4900000000002,2999.4900000000002,6.3512102193458455,0.0010065864767167848,2999.4900000000002,6.3512102193458455,0.0010065864767167848,0.021179999999999997,4110.0,0.27019708029197076,2999.4900000000002
syn1,False,False,0.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.78,0.17099999999999999,0.6580141246318817,0.15846637040376663,0.825413602590561,717.55,717.55,5.654700750232546,0.2522324544548111,717.55,5.654700750232546,0.2522324544548111,3.3187100000000003,4110.0,0.8254136253041361,717.55
syn1,False,False,0.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.579,0.5589999999999999,0.5174989700317383,0.49986561238765714,0.0012593530002050102,4104.824,4104.824,8.127549676648997,0.47130801128902167,4104.824,8.127549676648997,0.47130801128902167,0.0001,4110.0,0.001259367396593681,4104.824
syn1,False,False,0.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.30100000000000005,0.741,0.23147670477628707,0.6441492676734925,0.0247201889695134,4008.4,4008.4,8.165355441270046,0.8800923272747625,4008.4,8.165355441270046,0.8800923272747625,0.00446,4110.0,0.024720194647201925,4008.4
syn1,False,False,0.7,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.5439999999999999,0.454,0.496202152967453,0.40327339470386503,0.9453617632389069,224.56300000000002,240.33200000000002,3.379883212611863,0.30486360052294853,224.56300000000002,3.369779330159291,0.30484347219650026,3.1624,4110.0,0.9415250608272506,240.33200000000002
syn1,False,False,0.7,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.601,0.608,0.537714222073555,0.5615096688270569,0.6999997496604919,1233.0,4058.193,8.182582653402623,0.07770348901801463,1233.0,7.0589863328544125,0.10964873148148138,0.01372,4110.0,0.012605109489051086,4058.193
syn1,False,False,0.7,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.5349999999999999,0.528,0.4964201807975769,0.48145429491996766,0.9453617632389069,224.56300000000002,240.33200000000002,3.3572233416686172,0.3006950400132444,224.56300000000002,3.3471195427590508,0.30075537278130626,3.96702,4110.0,0.9415250608272506,240.33200000000002
