,explainer_name,charact_prob_phen_hard,charact_prob_phen_soft,charact_prob_gnn_hard,charact_prob_gnn_soft
5,pgexplainer,0.0001705426409884209,0.0030480307907670098,0.008581181836109796,0.007809907328117249
1,distance,0.24261834515469807,0.1505774161885174,0.28162561866473423,0.2190507741901841
0,basic_gnnexplainer,0.20782294159841158,0.1862484754657691,0.22128338805191028,0.23413564193285036
7,random,0.23338776229125818,0.23672225077778855,0.2782873686597047,0.27828771990663703
2,ig,0.28490893874175416,0.29560353338081774,0.331916084263189,0.336197838419673
8,sa,0.31213943082622875,0.31609483620387724,0.3322171578358072,0.33452323757876845
6,pgmexplainer,0.32729232471715947,0.3240659431906879,0.35949406031993875,0.3554118877353375
9,subgraphx,0.37132182038700634,0.3683925298686111,0.38482771923884596,0.3848036695463259
3,occlusion,0.36497543025204504,0.37978820869613183,0.3576031711672158,0.36603489397977595
4,pagerank,0.43537651755158613,0.4221681200107831,0.46466487402227985,0.4600726529047714
