dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,time,number_of_edges
syn1,False,False,1.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.06,0.68,0.03836584463715553,0.5614702105522156,249.76,3.3963913174738183,0.2623678241491888,1.0,0.0,1.0,3.408,4110.0
syn1,False,False,1.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.18,0.68,0.09942791610956192,0.5570504665374756,4053.49,8.17984190538191,0.07753128861174101,1.0,0.0,1.0,0.0124,4110.0
syn1,False,False,1.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.1639798879623413,0.5734525918960571,4104.06,8.133763279122341,0.8034724727829671,1.0,0.0,1.0,0.2725,4110.0
syn1,False,False,1.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.45,0.68,0.36707988381385803,0.5534243583679199,4108.95,8.311185367201626,0.8961034449511913,1.0,0.0,1.0,0.5389,4110.0
syn1,False,False,1.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.37,0.68,0.23319320380687714,0.5876887440681458,2999.84,6.340081588738761,0.0010067343477517393,1.0,0.0,1.0,0.0181,4110.0
syn1,False,False,1.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.0,0.68,0.00016460656479466707,0.5570504665374756,763.34,5.4302742087261775,0.0026598690497896637,1.0,0.0,1.0,94.6598,4110.0
syn1,False,False,1.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.18645459413528442,0.5777198672294617,701.42,5.676529521759492,0.2354743747555898,1.0,0.0,1.0,5.4466,4110.0
syn1,False,False,1.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.36,0.68,0.24031910300254822,0.5570504665374756,4104.9,8.127103166024556,0.43579386659010394,1.0,0.0,1.0,0.0001,4110.0
syn1,False,False,1.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.51,0.68,0.37684711813926697,0.5750927329063416,3384.78,7.424401001395878,0.8066358438907816,1.0,0.0,1.0,0.0063,4110.0
syn1,False,False,1.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.19,0.68,0.17825420200824738,0.565523087978363,9.24,1.9907367269862852,1.0,0.97,0.0,1.0,0.2522,4110.0
