dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,f1_score,precision,recall,mask_size_init,mask_entropy_init,max_avg_init,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio,time,number_of_edges
syn1,False,False,1.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.054000000000000006,0.712,0.039624910429120065,0.6143916308879852,0.09371428571428572,0.328,0.05466666666666666,231.11999999999998,3.3273496759501264,0.32054757036055703,1.0,0.0,1.0,0.5,3.29116,4110.0
syn1,False,False,1.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.2,0.716,0.12137864232063293,0.6183162152767181,0.265142857142857,0.9279999999999999,0.15466666666666665,4057.256,8.182172553618587,0.07677195195263292,1.0,0.0,1.0,0.5,0.01372,4110.0
syn1,False,False,1.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.064,0.686,0.043123709410429,0.6012415230274201,0.08399999999999999,0.294,0.049,231.11999999999998,3.320251587631256,0.28906963241384054,1.0,0.0,1.0,0.5,3.2174,4110.0
syn1,False,False,1.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.40800000000000003,0.752,0.3365227833390236,0.6456567108631134,0.21999999999999992,0.77,0.12833333333333335,3897.432,7.975210377182992,0.43995068114519,1.0,0.0,1.0,0.5,0.28142,4110.0
syn1,False,False,1.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.356,0.716,0.2890717685222626,0.6178946614265441,0.1274285714285714,0.446,0.07433333333333333,4100.9,8.301665776154147,0.8739930139532731,1.0,0.0,1.0,0.5,0.5137,4110.0
syn1,False,False,1.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.29,0.708,0.20039371252059937,0.6176736772060394,0.2845714285714284,0.9960000000000001,0.16600000000000004,2997.08,6.3463850298754,0.0010064067405241828,1.0,0.0,1.0,0.5,0.01972,4110.0
syn1,False,False,1.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.0,0.716,0.00015491402227780783,0.6183162271976471,0.002285714285714286,0.008,0.0013333333333333333,895.2360000000001,5.79044804367183,0.016071243882909987,1.0,0.0,1.0,0.5,61.07786,4110.0
syn1,False,False,1.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.21799999999999997,0.67,0.18085887134075165,0.5950061440467834,0.21999999999999992,0.7699999999999999,0.1283333333333333,694.9559999999999,5.616166243891415,0.25561802574888065,1.0,0.0,1.0,0.5,3.76832,4110.0
syn1,False,False,1.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.0,0.716,0.0003341693780384958,0.6183162152767181,0.001142857142857143,0.004,0.0006666666666666666,4104.8099999999995,8.127226199258303,0.4612887385537827,1.0,0.0,1.0,0.5,0.0001,4110.0
syn1,False,False,1.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.368,0.762,0.28179374635219573,0.6429854333400726,0.049714285714285704,0.174,0.028999999999999998,3813.8,7.965996366217537,0.8576423067569049,1.0,0.0,1.0,0.5,0.00434,4110.0
syn1,False,False,1.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.20369565217391306,0.7830434782608695,0.20142566412687302,0.7239234745502472,0.23037267080745336,0.806304347826087,0.13438405797101446,8.971304347826088,2.137013687147546,1.0,1.0,0.0,1.0,0.5,726.43635,4110.0
syn1,False,False,5.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.22800000000000004,0.6679999999999999,0.16343621611595155,0.5918712258338928,0.2770383838383838,0.32376666666666665,0.244,231.11999999999998,3.3273496759501264,0.32054757036055703,5.0,1.574225605914679,0.9765677089800555,0.3424087301587302,3.29116,4110.0
syn1,False,False,5.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.262,0.632,0.21547959446907045,0.5659516096115113,0.6875919191919191,0.8478333333333333,0.5856666666666667,4057.256,8.182172553618587,0.07677195195263292,5.0,1.5395350055109307,0.6791099206349206,0.2129,0.01372,4110.0
syn1,False,False,5.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.25,0.658,0.1801491230726242,0.583877044916153,0.27827070707070706,0.3257333333333333,0.24466666666666667,231.11999999999998,3.320251587631256,0.28906963241384054,5.0,1.5713777571995462,0.9747438084685532,0.34466031746031744,3.2174,4110.0
syn1,False,False,5.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.32399999999999995,0.766,0.26428991854190825,0.650581705570221,0.37777777777777777,0.5626666666666666,0.2846666666666667,3897.432,7.975210377182992,0.43995068114519,5.0,1.5969761439132992,0.8378823217177669,0.3450944444444444,0.28142,4110.0
syn1,False,False,5.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.43600000000000005,0.636,0.3650334537029266,0.544580540060997,0.21010909090909094,0.23399999999999999,0.191,4100.9,8.301665776154147,0.8739930139532731,5.0,1.6014117838034039,0.8966260923693952,0.34639682539682537,0.5137,4110.0
syn1,False,False,5.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.708,0.528,0.5782972514629364,0.4275431573390961,0.6600000000000001,0.99,0.495,2997.08,6.3463850298754,0.0010064067405241828,5.0,1.6059419597155518,0.9240956757275516,0.26666666666666666,0.01972,4110.0
syn1,False,False,5.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.0,0.7140000000000001,0.0017405682476237417,0.6167092263698578,0.005911111111111111,0.008166666666666666,0.004666666666666666,895.2360000000001,5.79044804367183,0.016071243882909987,5.0,1.609431320198911,0.9970947003968929,0.5,61.07786,4110.0
syn1,False,False,5.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.462,0.596,0.37826707363128664,0.5094313025474548,0.4382222222222222,0.6573333333333333,0.32866666666666666,694.9559999999999,5.616166243891415,0.25561802574888065,5.0,1.6078006601578434,0.9546970273128326,0.3222333333333333,3.76832,4110.0
syn1,False,False,5.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.002,0.716,0.0023876666091382504,0.6188221514225006,0.0021818181818181815,0.0024000000000000002,0.0019999999999999996,4104.8099999999995,8.127226199258303,0.4612887385537827,5.0,1.6094378234587012,0.9990535688524304,0.49246825396825394,0.0001,4110.0
syn1,False,False,5.0,sa,100.0,-1.0,-1.0,-1.0,-1.0,0.332,0.806,0.2616833716630936,0.6668711483478547,0.10302222222222221,0.15433333333333332,0.07733333333333334,3813.8,7.965996366217537,0.8576423067569049,5.0,1.6084107297366093,0.9755258464675644,0.3343999999999999,0.00434,4110.0
syn1,False,False,5.0,subgraphx,100.0,-1.0,-1.0,-1.0,-1.0,0.6226086956521739,0.5910869565217391,0.5579991638660431,0.5503162145614624,0.624304347826087,0.8421195652173913,0.5069927536231884,8.971304347826088,2.137013687147546,1.0,4.8765217391304345,1.5818845347935628,1.0,0.25417391304347825,726.43635,4110.0
syn1,False,False,10.0,basic_gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.332,0.65,0.2581186145544052,0.5829380869865417,0.3738939227439227,0.3323865079365079,0.4336666666666667,231.11999999999998,3.3273496759501264,0.32054757036055703,10.0,2.128682692326704,0.9010099551615799,0.2503677764272191,3.29116,4110.0
syn1,False,False,10.0,distance,100.0,-1.0,-1.0,-1.0,-1.0,0.454,0.628,0.37796926498413086,0.5739525556564331,0.7895784049284049,0.7362849206349205,0.859,4057.256,8.182172553618587,0.07677195195263292,10.0,2.206888513461919,0.4380464444444442,0.15029834054834051,0.01372,4110.0
syn1,False,False,10.0,gnnexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.296,0.662,0.23160214424133302,0.5821557939052582,0.3645303363303363,0.3245714285714286,0.42266666666666663,231.11999999999998,3.320251587631256,0.28906963241384054,10.0,2.107607376893737,0.8968382711960589,0.24670006062049404,3.2174,4110.0
syn1,False,False,10.0,ig,100.0,-1.0,-1.0,-1.0,-1.0,0.354,0.67,0.27154293060302737,0.583844530582428,0.4379335997335997,0.4669904761904761,0.41600000000000004,3897.432,7.975210377182992,0.43995068114519,10.0,2.28417592444334,0.7192975554621295,0.24008256743256742,0.28142,4110.0
syn1,False,False,10.0,occlusion,100.0,-1.0,-1.0,-1.0,-1.0,0.43600000000000005,0.636,0.3650696575641632,0.5445793360471726,0.166,0.1371857142857143,0.21233333333333335,4100.9,8.301665776154147,0.8739930139532731,10.0,2.2932352436034424,0.8920663231710829,0.26852097902097893,0.5137,4110.0
syn1,False,False,10.0,pagerank,100.0,-1.0,-1.0,-1.0,-1.0,0.7140000000000001,0.22200000000000003,0.5632945358753204,0.19835214018821717,0.8643636363636361,0.9508000000000001,0.7923333333333331,2997.08,6.3463850298754,0.0010064067405241828,10.0,2.2803525405462253,0.623043267909111,0.1996666666666666,0.01972,4110.0
syn1,False,False,10.0,pgexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.004,0.712,0.005133800813928247,0.6157446563243866,0.007969696969696969,0.008733333333333333,0.007333333333333333,895.2360000000001,5.79044804367183,0.016071243882909987,10.0,2.302560716867157,0.9920524448072706,0.5,61.07786,4110.0
syn1,False,False,10.0,pgmexplainer,100.0,-1.0,-1.0,-1.0,-1.0,0.49399999999999994,0.5,0.4204938352108002,0.4230713427066803,0.5298018648018648,0.5819904761904763,0.48633333333333334,694.9559999999999,5.616166243891415,0.25561802574888065,10.0,2.297403296598092,0.8514787354783456,0.26334761904761905,3.76832,4110.0
syn1,False,False,10.0,random,100.0,-1.0,-1.0,-1.0,-1.0,0.004,0.716,0.0030114628141745927,0.6188221514225006,0.002516666666666666,0.0020222222222222226,0.003333333333333333,4104.8099999999995,8.127226199258303,0.4612887385537827,10.0,2.302584801500757,0.9981346144010688,0.48533259373925014,0.0001,4110.0
