dataset,true_label_as_target,hard_mask,topk,explainer_name,num_test,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,fidelity_gnn_acc+,fidelity_gnn_acc-,fidelity_gnn_prob+,fidelity_gnn_prob-,f1_score,precision,recall,mask_size_init,mask_entropy_init,max_avg_init,cc_ratio_init,mask_size_transf,mask_entropy_transf,max_avg_transf,cc_ratio_transf,time,number_of_edges
syn1,True,True,1.0,basic_gnnexplainer,20.0,0.05,0.55,0.021081607788801193,0.4349266588687897,-1.0,-1.0,-1.0,-1.0,0.0857142857142857,0.3,0.049999999999999996,281.8,3.8139701299014654,0.42557504506308924,0.06498174457685586,1.0,0.0,1.0,0.5,3.2343,4110.0
syn1,True,True,1.0,distance,20.0,0.1,0.55,-0.024823006242513657,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.24285714285714283,0.85,0.14166666666666664,4052.1,8.178818725297734,0.07516330341395817,0.0014285714285714286,1.0,0.0,1.0,0.5,0.0145,4110.0
syn1,True,True,1.0,gnnexplainer,20.0,0.05,0.55,-0.0049083963967859745,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.11428571428571428,0.4,0.06666666666666667,281.8,3.6935496545516573,0.32527619456663737,0.06498174457685586,1.0,0.0,1.0,0.5,3.1841,4110.0
syn1,True,True,1.0,ig,20.0,0.1,0.55,0.002297478960826993,0.4590727686882019,-1.0,-1.0,-1.0,-1.0,0.02857142857142857,0.1,0.016666666666666666,4097.1,8.20425696241743,0.8923134702121118,0.0016428571428571432,1.0,0.0,1.0,0.5,0.1724,4110.0
syn1,True,True,1.0,occlusion,20.0,0.45,0.55,0.32656604051589966,0.4474000334739685,-1.0,-1.0,-1.0,-1.0,0.12857142857142856,0.45,0.075,4109.0,8.309862676151068,0.9249462863877405,0.0014285714285714286,1.0,0.0,1.0,0.5,0.6812,4110.0
syn1,True,True,1.0,pagerank,20.0,0.25,0.55,0.07108765095472336,0.4180522859096527,-1.0,-1.0,-1.0,-1.0,0.2857142857142857,1.0,0.16666666666666663,2987.4,6.366147200272256,0.0010056247006875524,0.0027506538915790077,1.0,0.0,1.0,0.5,0.0287,4110.0
syn1,True,True,1.0,pgexplainer,20.0,0.0,0.55,0.0,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,923.7,5.82317199177394,0.01653129427957888,0.19425805253696501,1.0,0.0,1.0,0.5,49.9946,4110.0
syn1,True,True,1.0,pgmexplainer,20.0,0.15,0.55,0.07863400131464005,0.43338361382484436,-1.0,-1.0,-1.0,-1.0,0.24285714285714283,0.85,0.14166666666666664,802.3,5.698170467642355,0.24972856268444293,0.020465026039857327,1.0,0.0,1.0,0.5,3.1267,4110.0
syn1,True,True,1.0,random,20.0,0.0,0.55,-4.887580757895194e-07,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4104.7,8.126336122121874,0.4267193171526162,0.0014285714285714286,1.0,0.0,1.0,0.5,0.0002,4110.0
syn1,True,True,1.0,sa,20.0,0.55,0.55,0.37063997983932495,0.45907288789749146,-1.0,-1.0,-1.0,-1.0,0.02857142857142857,0.1,0.016666666666666666,3728.3,7.83762953814387,0.8919433566541951,0.002128294036061027,1.0,0.0,1.0,0.5,0.0036,4110.0
syn1,True,True,1.0,subgraphx,20.0,0.15,0.55,0.07192569226026535,0.43415507674217224,-1.0,-1.0,-1.0,-1.0,0.2714285714285714,0.95,0.1583333333333333,9.6,1.9908069252710916,1.0,0.2766666666666667,1.0,0.0,1.0,0.5,0.1252,4110.0
syn1,True,True,2.0,basic_gnnexplainer,20.0,0.05,0.6,-0.00049657525960356,0.48345184326171875,-1.0,-1.0,-1.0,-1.0,0.175,0.35,0.11666666666666667,281.8,3.8139701299014654,0.42557504506308924,0.06498174457685586,2.0,0.6931436903001674,0.9978048384932843,0.425,3.2343,4110.0
syn1,True,True,2.0,distance,20.0,0.1,0.55,-0.04671711474657059,0.45087185502052307,-1.0,-1.0,-1.0,-1.0,0.4625,0.925,0.3083333333333333,4052.1,8.178818725297734,0.07516330341395817,0.0014285714285714286,2.0,0.6931471805599453,1.0,0.33333333333333326,0.0145,4110.0
syn1,True,True,2.0,gnnexplainer,20.0,0.1,0.55,0.03411487489938736,0.4349265992641449,-1.0,-1.0,-1.0,-1.0,0.1625,0.325,0.10833333333333332,281.8,3.6935496545516573,0.32527619456663737,0.06498174457685586,2.0,0.6931422553036877,0.9977419959200635,0.45,3.1841,4110.0
syn1,True,True,2.0,ig,20.0,0.1,0.55,0.002278074622154236,0.467110812664032,-1.0,-1.0,-1.0,-1.0,0.02857142857142857,0.1,0.016666666666666666,4097.1,8.20425696241743,0.8923134702121118,0.0016428571428571432,2.0,0.6931471805599453,1.0,0.5,0.1724,4110.0
