dataset,sparsity,explainer_name,num_test_nodes,gpu,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,number_of_edges,mask_sparsity_init,non_zero_values_init
syn1,0.0,distance,100.0,1.0,0.005822501095236078,1.0,0.0029197506734234056,0.9984496502358874,0.53,0.0,0.4879054129123688,0.0,0.009175175800919533,4072.29,0.0159,4110.0,0.00917518248175182,4072.29
syn1,0.0,gnnexplainer,100.0,1.0,0.4708098949728271,1.0,0.3712587935755166,0.968211627623231,0.53,0.0,0.4879054129123688,0.0,0.9376057386398315,256.44,2.5984,4110.0,0.9376058394160586,256.44
syn1,0.0,ig_node,100.0,1.0,0.007333445297087138,0.92,0.0037027588074217237,0.5199365544167888,0.53,0.24,0.4849790632724762,0.23897846043109894,0.05082237720489502,3901.12,0.1673,4110.0,0.05082238442822385,3901.12
syn1,0.0,occlusion,100.0,1.0,0.00582241630276565,1.0,0.002919708029197079,0.0407369448511469,0.53,0.0,0.3237719237804413,-0.10017051547765732,0.00024330615997314453,4109.0,0.5983,4110.0,0.00024330900243307862,4109.0
syn1,0.0,pagerank,100.0,1.0,0.005825242718446604,1.0,0.0029211295034079847,0.9998910037416628,0.53,0.0,0.4879054129123688,0.0,0.00048661231994628906,4108.0,0.021,4110.0,0.00048661800486615725,4108.0
syn1,0.0,pgmexplainer,100.0,1.0,0.17919372858581067,0.9983333333333333,0.11979557370245952,0.9672210021148528,0.53,0.0,0.4879054129123688,-0.000656609539873898,0.8187105059623718,745.1,6.0935,4110.0,0.8187104622871044,745.1
syn1,0.0,random,100.0,1.0,0.00582241630276565,1.0,0.002919708029197079,0.5027649666503986,0.53,0.0,0.4879054129123688,-4.827976454180316e-07,0.00024330615997314453,4109.0,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,0.0,sa_node,100.0,1.0,0.0048543689320388345,0.8333333333333331,0.002434274586173321,0.04175288758744102,0.53,0.3,0.4849167764186859,0.2680402398109436,0.00048661231994628906,4108.0,0.0028,4110.0,0.00048661800486615725,4108.0
syn1,0.0,subgraphx,100.0,1.0,0.8003722943722944,0.8,0.8193571428571428,-1.0,0.45,0.18,0.40350884199142456,0.08104502409696579,0.9473185539245605,216.52,0.9609,4110.0,0.9473187347931877,11.02
syn1,0.7,distance,100.0,1.0,0.01187017609041131,1.0,0.005970582142156393,0.9984496502358874,0.53,0.0,0.4879054129123688,-0.0030713349115103483,0.6999997496604919,1233.0,0.0138,4110.0,0.00917518248175182,4072.29
syn1,0.7,gnnexplainer,100.0,1.0,0.47083317734358715,0.9983333333333333,0.3712706711656962,0.9699943061656093,0.53,0.02,0.48559433221817017,0.022846372798085213,0.9423648715019226,236.88,2.5966,4110.0,0.9376058394160586,256.44
syn1,0.7,ig_node,100.0,1.0,0.008075517390524214,0.52,0.004084632178576977,0.6876720351390919,0.05,0.48,0.05447244271636009,0.43343299627304077,0.7071506381034851,1203.61,0.1599,4110.0,0.05082238442822385,3901.12
syn1,0.7,occlusion,100.0,1.0,0.0006622769843197108,0.05333333333333333,0.0003332074904398988,0.3669395640149667,0.25,0.49,0.19612018764019012,0.447654128074646,0.6999997496604919,1233.0,0.584,4110.0,0.00024330900243307862,4109.0
syn1,0.7,pagerank,100.0,1.0,0.01926163723916533,1.0,0.009724473257698542,0.9998910037416628,0.53,0.0,0.4879054129123688,-0.00033805251587182283,0.6999997496604919,1233.0,0.0199,4110.0,0.00048661800486615725,4108.0
syn1,0.7,pgmexplainer,100.0,1.0,0.18151566175214026,0.97,0.1210077433062876,0.9629315113063285,0.53,0.0,0.4879054129123688,-0.0033965492621064186,0.8792529106140137,496.27,3.895,4110.0,0.81861800486618,745.48
syn1,0.7,random,100.0,1.0,0.005838952200245099,0.5133333333333333,0.0029361764901953947,0.5016892386530014,0.29,0.47,0.1547858864068985,0.346689909696579,0.6999997496604919,1233.0,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,0.7,sa_node,100.0,1.0,0.0005457743377862548,0.04166666666666667,0.00027468883901244647,0.3766042378395966,0.05,0.53,0.0031489422544837,0.4937598407268524,0.6999997496604919,1233.0,0.0027,4110.0,0.00048661800486615725,4108.0
syn1,0.7,subgraphx,100.0,1.0,0.7944848484848483,0.7933333333333334,0.8113571428571429,-1.0,0.45,0.18,0.4085133671760559,0.07565221190452576,0.9823088049888611,72.71,0.9601,4110.0,0.9473090024330904,11.06
syn1,0.99,distance,100.0,1.0,0.30149888632740823,1.0,0.17756851157017187,0.9801375671059053,0.53,0.05,0.4879054129123688,-0.02008657716214657,0.9900243282318115,41.0,0.0139,4110.0,0.00917518248175182,4072.29
syn1,0.99,gnnexplainer,100.0,1.0,0.46837485822423935,0.7533333333333334,0.3708988687027691,0.8521693509028795,0.32,0.29,0.2734147012233734,0.24292290210723877,0.9922918677330017,31.68,2.5756,4110.0,0.9376058394160586,256.44
syn1,0.99,ig_node,100.0,1.0,0.17878591620561454,0.5183333333333333,0.1085706430070307,0.756697372702131,0.05,0.48,0.05447244271636009,0.4329214096069336,0.9900243282318115,41.0,0.1677,4110.0,0.05082238442822385,3901.12
syn1,0.99,occlusion,100.0,1.0,0.013617021276595743,0.05333333333333333,0.007804878048780488,0.508498047828209,0.25,0.49,0.1961202174425125,0.447654128074646,0.9900243282318115,41.0,0.6709,4110.0,0.00024330900243307862,4109.0
syn1,0.99,pagerank,100.0,1.0,0.4444444444444445,1.0,0.2857142857142856,0.9998910037416625,0.53,0.0,0.4879054129123688,-0.006147847045212984,0.9900243282318115,41.0,0.02,4110.0,0.00048661800486615725,4108.0
syn1,0.99,pgmexplainer,100.0,1.0,0.35090942968862926,0.755,0.2328278580662617,0.8750205384740525,0.4,0.23,0.3788008391857147,0.14951272308826447,0.9906933307647705,38.25,5.3987,4110.0,0.8182287104622872,747.08
syn1,0.99,random,100.0,1.0,0.00427382053654024,0.016666666666666666,0.002451219512195122,0.4991861883845779,0.01,0.53,0.009899157099425793,0.4872249662876129,0.9900243282318115,41.0,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,0.99,sa_node,100.0,1.0,0.01814814814814815,0.04166666666666667,0.011607142857142856,0.515981169676265,0.05,0.53,0.0031489422544837,0.5012949109077454,0.9900243282318115,41.0,0.0027,4110.0,0.00048661800486615725,4108.0
syn1,0.99,subgraphx,100.0,1.0,0.7969783549783551,0.7966666666666667,0.8173571428571428,-1.0,0.45,0.18,0.4091581702232361,0.07626312971115112,0.9968199133872986,13.07,0.9899,4110.0,0.9473187347931877,11.02
syn1,0.997,distance,100.0,1.0,0.8040122997917113,0.93,0.7161013708513709,0.8872654343582237,0.43,0.2,0.37850743532180786,0.1059008538722992,0.9970800876617432,12.0,0.0216,4110.0,0.00917518248175182,4072.29
syn1,0.997,gnnexplainer,100.0,1.0,0.42549508008331544,0.5116666666666666,0.37037121212121216,0.6895063648934441,0.22,0.49,0.10466989874839783,0.3729601204395294,0.9970800876617432,12.0,3.746,4110.0,0.9376058394160586,256.44
syn1,0.997,ig_node,100.0,1.0,0.4616666666666668,0.4616666666666668,0.4616666666666668,0.7300878477306004,0.05,0.53,0.05447244271636009,0.4529666006565094,0.9970800876617432,12.0,0.1604,4110.0,0.05082238442822385,3901.12
syn1,0.997,occlusion,100.0,1.0,0.035555555555555556,0.05333333333333333,0.026666666666666665,0.5119420042297055,0.25,0.49,0.19612018764019012,0.447654128074646,0.9970800876617432,12.0,0.8326,4110.0,0.00024330900243307862,4109.0
syn1,0.997,pagerank,100.0,1.0,0.8716666666666665,0.8716666666666665,0.8716666666666665,0.9357629738083618,0.53,0.05,0.4879054129123688,-0.014343037270009518,0.9970800876617432,12.0,0.0201,4110.0,0.00048661800486615725,4108.0
syn1,0.997,pgmexplainer,100.0,1.0,0.5864102564102565,0.5866666666666667,0.5861904761904762,0.7927907922563853,0.31,0.42,0.29940757155418396,0.29444047808647156,0.9970800876617432,12.0,3.8743,4110.0,0.8217274939172751,732.7
syn1,0.997,random,100.0,1.0,0.003333333333333333,0.005,0.0025,0.4997916666666667,0.0,0.53,-0.0006604677182622254,0.4879054129123688,0.9970800876617432,12.0,0.0001,4110.0,0.00024330900243307862,4109.0
syn1,0.997,sa_node,100.0,1.0,0.025384615384615384,0.02666666666666667,0.02428571428571429,0.5119123149503824,0.05,0.53,0.002650054171681404,0.507211446762085,0.9970800876617432,12.0,0.0035,4110.0,0.00048661800486615725,4108.0
syn1,0.997,subgraphx,100.0,1.0,0.8028384948384949,0.805,0.8162857142857143,-1.0,0.45,0.25,0.3997174799442291,0.13101989030838013,0.997269868850708,11.22,0.8792,4110.0,0.9472895377128957,11.14
syn3,0.0,distance,100.0,1.0,0.009404720504221715,1.0,0.0047245769150852995,0.9885574070411391,0.0,0.0,0.01837414689362049,0.0,0.009295275434851646,5032.78,0.0189,5080.0,0.009295275590551174,5032.78
syn3,0.0,gnnexplainer,100.0,1.0,0.7354114098265118,0.93,0.6906520613451961,0.9526410864978903,0.0,0.0,0.01837414689362049,0.0,0.9721536040306091,141.46,5.4723,5080.0,0.9721535433070868,141.46
syn3,0.0,ig_node,100.0,1.0,0.00850699687166125,0.9041666666666669,0.004273602874744219,0.0004150184599155981,0.0,0.0,0.01837414689362049,-0.0006329977768473327,0.00046061575994826853,5077.66,0.2916,5080.0,0.0004606299212598086,5077.66
syn3,0.0,occlusion,100.0,1.0,0.05899793491445033,1.0,0.04845377830678143,0.6263018773074893,0.0,0.0,-0.0027934061363339424,-0.001041302108205855,0.06825592368841171,4733.26,0.4722,5080.0,0.068255905511811,4733.26
syn3,0.0,pagerank,100.0,1.0,0.009410030668480642,1.0,0.004727257152487391,0.9998008966244726,0.0,0.0,0.01837414689362049,0.0,0.0006023437017574906,5076.94,0.0258,5080.0,0.0006023622047243993,5076.94
syn3,0.0,pgmexplainer,100.0,1.0,0.5179179648789961,0.9958333333333332,0.4321754176577286,0.976782700421941,0.0,0.0,0.01837414689362049,-3.81720055884216e-05,0.9254841804504395,378.54,8.7873,5080.0,0.9254842519685041,378.54
syn3,0.0,random,100.0,1.0,0.009404388714733543,1.0,0.0047244094488188984,0.5003003856803797,0.0,0.0,0.01837414689362049,-1.001775308395736e-05,0.00019687414169311523,5079.0,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,0.0,sa_node,100.0,1.0,0.00813187971567121,0.8641666666666667,0.004085160709949055,9.856276371307317e-05,0.0,0.0,-0.004338935017585754,-0.0006618034676648676,0.0006417190888896585,5076.74,0.0063,5080.0,0.0006417322834645511,5076.74
syn3,0.0,subgraphx,100.0,1.0,0.7153553146603625,0.6099999999999999,0.9176751026751027,-1.0,0.0,0.0,0.01659732311964035,-0.0036949641071259975,0.9768741130828857,117.48,0.9716,5080.0,0.9768740157480325,15.88
syn3,0.7,distance,100.0,1.0,0.020287432307047007,1.0,0.010247829393565095,0.988483732199367,0.0,0.0,0.01837414689362049,-0.00034202338429167867,0.6999997496604919,1524.0,0.0235,5080.0,0.009295275590551174,5032.78
syn3,0.7,gnnexplainer,100.0,1.0,0.7354244915175973,0.93,0.6906587629986837,0.9532978556830168,0.0,0.0,0.01837414689362049,-0.00011294901196379215,0.9734055399894714,135.1,4.6553,5080.0,0.9721535433070868,141.46
syn3,0.7,ig_node,100.0,1.0,0.0,0.0,0.0,0.3492879746835442,0.0,0.0,-0.0009962135227397084,0.01837414689362049,0.6999997496604919,1524.0,0.2961,5080.0,0.0004606299212598086,5077.66
syn3,0.7,occlusion,100.0,1.0,0.0652507005500041,0.6866666666666668,0.05165225147124636,0.7371829262262658,0.0,0.0,-0.002296919235959649,0.014901098795235157,0.7190470099449158,1427.24,0.4552,5080.0,0.06825984251968502,4733.24
syn3,0.7,pagerank,100.0,1.0,0.0310077519379845,1.0,0.015748031496062992,0.9998008966244726,0.0,0.0,0.01837414689362049,0.0,0.6999997496604919,1524.0,0.0307,5080.0,0.0006023622047243993,5076.94
syn3,0.7,pgmexplainer,100.0,1.0,0.5120152204138902,0.9716666666666666,0.4253671052481072,0.9695119659810126,0.0,0.0,0.01837414689362049,-0.0006383418804034591,0.9416062235832214,296.64,5.3375,5080.0,0.9254566929133862,378.68
syn3,0.7,random,100.0,1.0,0.00947383822487651,0.5158333333333334,0.004780824402949725,0.5061732347705695,0.0,0.0,-0.0032769388053566217,0.0051993997767567635,0.6999997496604919,1524.0,0.0001,5080.0,0.00019685039370076485,5079.0
syn3,0.7,sa_node,100.0,1.0,0.0,0.0,0.0,0.3492879746835442,0.0,0.0,0.0,0.01837414689362049,0.6999997496604919,1524.0,0.004,5080.0,0.0006456692913385675,5076.72
syn3,0.7,subgraphx,100.0,1.0,0.7153553146603625,0.6099999999999999,0.9176751026751027,-1.0,0.0,0.0,0.01661108061671257,-0.0036949641071259975,0.9908741116523743,46.36,0.9661,5080.0,0.9768740157480325,15.88
