index,dataset,sparsity,explainer_name,num_test_nodes,gpu,f1_score_top,recall_top,precision_top,ged,auc_top,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,time
0,syn1,0.0,distance,200.0,1.0,0.6735454545454544,0.665,0.684,4.015,0.9982557548397593,0.005822543615075475,1.0,0.0029197720578819308,0.9982557548397593,0.665,0.0,0.6336562633514404,0.0,0.0157
1,syn1,0.0,gnnexplainer,200.0,1.0,0.32803030303030295,0.3233333333333333,0.33366666666666667,8.3,0.9721701643077924,0.4468343500053388,1.0,0.3407474783620988,0.9721701643077924,0.635,0.0,0.5990152955055237,0.0,2.5105
2,syn1,0.0,ig_node,200.0,1.0,0.8893181818181819,0.8891666666666667,0.8895000000000001,1.785,0.9874963396778916,0.10984974875514725,0.9975,0.07335147898446598,0.9874963396778916,0.635,0.015,0.5989547967910767,0.007320829667150974,0.1342
3,syn1,0.0,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,9.785,0.05300349764112574,0.005822416302765647,1.0,0.00291970802919708,0.05300349764112574,0.635,0.01,0.605472207069397,0.08447862416505814,0.455
4,syn1,0.0,pagerank,200.0,1.0,0.8641666666666665,0.8641666666666665,0.8641666666666665,2.435,0.9998816495851635,0.005825242718446601,1.0,0.0029211295034079843,0.9998816495851635,0.635,0.0,0.5990152955055237,0.0,0.0206
5,syn1,0.0,pgmexplainer,200.0,1.0,0.5875,0.5875,0.5875,5.39,0.9876014722628925,0.14637835989881914,1.0,0.09350863275090662,0.9876014722628925,0.635,0.0,0.5990152955055237,0.0,8.223
6,syn1,0.0,sa_node,200.0,1.0,0.3745454545454545,0.37416666666666665,0.375,6.96,0.46445705222059536,0.009533787259628947,0.8558333333333334,0.005501812671370725,0.46445705222059536,0.635,0.29,0.5977010130882263,0.3407081663608551,0.0028
7,syn1,0.5,distance,200.0,1.0,0.6795,0.6708333333333333,0.6905,3.995,0.9984191475516512,0.008218312826800758,1.0,0.004126130727218328,0.9984191475516511,0.635,0.0,0.5990152955055237,-0.0001527929271105677,0.0156
8,syn1,0.5,gnnexplainer,200.0,1.0,0.32031818181818184,0.315,0.327,8.375,0.9718587827395478,0.44683706694002545,1.0,0.34074884895651847,0.971492547177485,0.635,0.005,0.5990139842033386,0.0028534443117678165,5.829
9,syn1,0.5,ig_node,200.0,1.0,0.8893181818181819,0.8891666666666667,0.8895000000000001,1.785,0.9874963396778916,0.11196778897042703,0.9875,0.07441897853126578,0.990493635106556,0.63,0.035,0.5940448045730591,0.02183937467634678,0.1351
10,syn1,0.5,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,9.785,0.05300349764112574,0.0005041807811374219,0.05749999999999999,0.00025320114006046083,0.2706996299007646,0.18,0.49,0.1696535050868988,0.45491066575050354,0.454
11,syn1,0.5,pagerank,200.0,1.0,0.8641666666666665,0.8641666666666665,0.8641666666666665,2.435,0.9998816495851635,0.011605415860735012,1.0,0.005836575875486381,0.9998816495851633,0.635,0.0,0.5990152955055237,-5.736947059631348e-07,0.0206
12,syn1,0.5,pgmexplainer,200.0,1.0,0.5725,0.5725,0.5725,5.685,0.9840375386367333,0.14663680381668465,0.9983333333333334,0.09363936195085772,0.9836460875223687,0.635,0.0,0.5990152955055237,-0.0016601068200543523,8.1372
13,syn1,0.5,random,200.0,1.0,0.0,0.0,0.0,14.58,0.5002849967463804,0.0057020965246387546,0.735,0.0028621510696531472,0.49369224825117947,0.495,0.54,0.47950199246406555,0.5184987783432007,0.0
14,syn1,0.5,sa_node,200.0,1.0,0.3745454545454545,0.37416666666666665,0.375,6.96,0.46445705222059536,0.008702974112141167,0.465,0.005088495549330664,0.5974457052220595,0.325,0.54,0.3602115511894226,0.5119974613189697,0.0028
15,syn1,0.7,distance,200.0,1.0,0.6795,0.6708333333333333,0.6905,3.995,0.9984191475516512,0.01183488361699504,1.0,0.005952724509697698,0.9984191475516514,0.635,0.005,0.5990152955055237,0.0015802017878741026,0.0157
16,syn1,0.7,gnnexplainer,200.0,1.0,0.3195909090909091,0.31249999999999994,0.32825000000000004,8.65,0.9725300451439728,0.44679444067285173,0.9941666666666665,0.3407274942767316,0.9698524686839111,0.62,0.02,0.5808376669883728,0.01796792447566986,2.4916
17,syn1,0.7,ig_node,200.0,1.0,0.8893181818181819,0.8891666666666667,0.8895000000000001,1.785,0.9874963396778916,0.11493389205843954,0.9875,0.07592089107848653,0.9917472954286645,0.63,0.035,0.5940448045730591,0.021830804646015167,0.1328
18,syn1,0.7,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,9.785,0.05300349764112574,0.0006791173199078631,0.05416666666666666,0.0003417021303924115,0.3672089027167725,0.175,0.495,0.16470015048980713,0.4587426483631134,0.9865
19,syn1,0.7,pagerank,200.0,1.0,0.8641666666666665,0.8641666666666665,0.8641666666666665,2.435,0.9998816495851635,0.019261637239165328,1.0,0.009724473257698542,0.9998816495851635,0.635,0.0,0.5990152955055237,-3.305107384221628e-05,0.0207
20,syn1,0.7,pgmexplainer,200.0,1.0,0.5820000000000001,0.5816666666666667,0.5825,5.225,0.9895095168374817,0.14819269911681135,0.9958333333333332,0.09442969572675455,0.9883057792419067,0.635,0.0,0.5990152955055237,-0.0016011158004403114,3.7382
21,syn1,0.7,sa_node,200.0,1.0,0.3745454545454545,0.37416666666666665,0.375,6.96,0.46445705222059536,0.010593230856625635,0.465,0.006044274886775735,0.6511023670082967,0.325,0.54,0.36021605134010315,0.5119974613189697,0.0028
22,syn1,0.7,subgraphx,200.0,1.0,0.7778333333333333,0.7333333333333334,0.8328333333333333,3.56,0.9187097364568081,0.8857529137529138,0.8375,0.9737142857142856,0.9187097364568081,0.805,0.025,0.6919997930526733,0.08323843032121658,34.3307
23,syn1,0.9,distance,200.0,1.0,0.6795,0.6708333333333333,0.6905,3.995,0.9984191475516512,0.032014670874671934,1.0,0.016268181520330837,0.9976682731413697,0.635,0.015,0.5990152955055237,0.003562034573405981,0.0156
24,syn1,0.9,gnnexplainer,200.0,1.0,0.3099393939393939,0.30333333333333334,0.3181666666666667,8.225,0.9730693326012689,0.44701117110477484,0.9483333333333333,0.3408496049390395,0.9375022368635108,0.55,0.11,0.5139238238334656,0.1076335608959198,5.9073
25,syn1,0.9,ig_node,200.0,1.0,0.8893181818181819,0.8891666666666667,0.8895000000000001,1.785,0.9874963396778916,0.1321895195433433,0.9875,0.08481591421620957,0.9930024808849844,0.63,0.035,0.5940449237823486,0.021831298246979713,0.1353
26,syn1,0.9,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,9.785,0.05300349764112574,0.0017483060378324477,0.05416666666666666,0.000888496109984149,0.4649041707336913,0.175,0.495,0.16470009088516235,0.4587426781654358,0.4537
27,syn1,0.9,pagerank,200.0,1.0,0.8641666666666665,0.8641666666666665,0.8641666666666665,2.435,0.9998816495851635,0.05687203791469196,1.0,0.029268292682926838,0.9998816495851633,0.635,0.0,0.5990152955055237,0.0001841789489844814,0.0204
28,syn1,0.9,pgmexplainer,200.0,1.0,0.5866666666666667,0.5866666666666667,0.5866666666666667,5.305,0.984355579957703,0.15716744105555555,0.9583333333333335,0.09911086464856886,0.9714175614120709,0.635,0.035,0.5989953875541687,0.020843975245952606,8.6812
29,syn1,0.9,random,200.0,1.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,14.52,0.49855823979176833,0.005738661005703982,0.18916666666666665,0.0029135283216562913,0.5004567268586303,0.215,0.61,0.20820213854312897,0.5807901620864868,0.0
30,syn1,0.9,sa_node,200.0,1.0,0.3745454545454545,0.37416666666666665,0.375,6.96,0.46445705222059536,0.023021500607747394,0.4625,0.012437131236195656,0.7037109565641777,0.325,0.555,0.36015769839286804,0.5268777012825012,0.0026
31,syn1,0.9,subgraphx,200.0,1.0,0.7820757575757575,0.7375,0.8371666666666667,3.575,0.9224658369936555,0.8929988344988345,0.845,0.9804523809523809,0.9224658369936555,0.8,0.03,0.6893473863601685,0.0886220633983612,18.944
32,syn1,0.95,distance,200.0,1.0,0.6795,0.6708333333333333,0.6905,3.995,0.9984191475516512,0.0628986498677627,1.0,0.03247200524372093,0.9973666015942737,0.635,0.015,0.5990152955055237,0.00011781543435063213,0.0157
33,syn1,0.95,gnnexplainer,200.0,1.0,0.33242424242424234,0.32416666666666666,0.3423333333333333,8.45,0.9726454469659997,0.4462726680628402,0.8725,0.34051590140336996,0.9082117292988451,0.505,0.19,0.46903160214424133,0.169788658618927,2.4887
34,syn1,0.95,ig_node,200.0,1.0,0.8893181818181819,0.8891666666666667,0.8895000000000001,1.785,0.9874963396778916,0.15926236902556026,0.9875,0.09928194026051926,0.9933151333984057,0.63,0.035,0.5940449237823486,0.02183130756020546,0.1356
35,syn1,0.95,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,9.785,0.05300349764112574,0.003217764474557958,0.05416666666666666,0.0016581359633345313,0.4892389580283064,0.175,0.495,0.16470009088516235,0.4587426781654358,0.4535
36,syn1,0.95,pagerank,200.0,1.0,0.8641666666666665,0.8641666666666665,0.8641666666666665,2.435,0.9998816495851635,0.11009174311926608,1.0,0.058252427184466,0.9998816495851633,0.635,0.0,0.5990152955055237,-0.000912225223146379,0.021
37,syn1,0.95,pgmexplainer,200.0,1.0,0.5920454545454545,0.5916666666666667,0.5925,5.275,0.9887347486578819,0.18050998091644238,0.9341666666666666,0.11186241030842642,0.9622640108996259,0.635,0.065,0.5966055393218994,0.04605910927057266,3.7687
38,syn1,0.95,sa_node,200.0,1.0,0.3745454545454545,0.37416666666666665,0.375,6.96,0.46445705222059536,0.03904969266866363,0.45833333333333337,0.020965754237426706,0.7151946071254272,0.325,0.58,0.36005699634552,0.5516781806945801,0.0026
39,syn1,0.95,subgraphx,200.0,1.0,0.7801818181818182,0.7316666666666666,0.84025,3.26,0.9241044411908248,0.8863379953379953,0.8483333333333333,0.9578333333333333,0.9241044411908248,0.795,0.02,0.6865947842597961,0.0776480883359909,36.9356
40,syn1,0.98,distance,200.0,1.0,0.6795,0.6708333333333333,0.6905,3.995,0.9984191475516512,0.15436070396129697,0.9991666666666668,0.08365838570888406,0.9871407292175044,0.635,0.015,0.5990152955055237,-0.010607792995870113,0.0156
41,syn1,0.98,gnnexplainer,200.0,1.0,0.31309090909090903,0.30666666666666664,0.321,8.28,0.9733839169513584,0.4468652812869856,0.8116666666666668,0.34104693886552184,0.884575453473239,0.43,0.245,0.4105302393436432,0.22148504853248596,5.7225
42,syn1,0.98,ig_node,200.0,1.0,0.8893181818181819,0.8891666666666667,0.8895000000000001,1.785,0.9874963396778916,0.2511033128379714,0.9866666666666666,0.15262315735277265,0.993093785586465,0.635,0.035,0.5965797305107117,0.021741723641753197,0.1359
43,syn1,0.98,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,9.785,0.05300349764112574,0.007567779477468613,0.05416666666666666,0.004068077794607331,0.5038398304050756,0.175,0.495,0.16470015048980713,0.4587426483631134,0.978
44,syn1,0.98,pagerank,200.0,1.0,0.8641666666666665,0.8641666666666665,0.8641666666666665,2.435,0.9998816495851635,0.2553191489361702,1.0,0.1463414634146341,0.9998816495851633,0.635,0.005,0.5990152955055237,-0.000403000129153952,0.0206
45,syn1,0.98,pgmexplainer,200.0,1.0,0.5941666666666666,0.5941666666666666,0.5941666666666666,5.07,0.9867770863836017,0.26001886930695034,0.8725,0.1600804293907852,0.9335993167398732,0.63,0.15,0.5912731885910034,0.11920636892318726,8.6821
46,syn1,0.98,random,200.0,1.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,14.455,0.49085737961607284,0.004694448494568782,0.034166666666666665,0.0025203816621499546,0.4985451744753538,0.025,0.61,0.02491861768066883,0.5852024555206299,0.0001
47,syn1,0.98,sa_node,200.0,1.0,0.3745454545454545,0.37416666666666665,0.375,6.96,0.46445705222059536,0.07993520475959442,0.4525,0.04424889441298279,0.7205285098421994,0.32,0.6,0.356516033411026,0.5715197920799255,0.0028
48,syn1,0.99,distance,200.0,1.0,0.6795,0.6708333333333333,0.6905,3.995,0.9984191475516512,0.30801931365965884,0.9958333333333335,0.18237191621826404,0.9805107166097283,0.635,0.02,0.5989893078804016,-0.0037962922360748053,0.0156
49,syn1,0.99,gnnexplainer,200.0,1.0,0.3035,0.2975,0.311,8.295,0.9735700341630065,0.44618922866535743,0.7591666666666668,0.3416411799341495,0.8522235948430128,0.445,0.33,0.4070320427417755,0.28955742716789246,2.4416
50,syn1,0.99,ig_node,200.0,1.0,0.8893181818181819,0.8891666666666667,0.8895000000000001,1.785,0.9874963396778916,0.4170703951780122,0.9866666666666666,0.2677474727008798,0.9931604847893282,0.635,0.025,0.5960719585418701,0.011641193181276321,0.1337
51,syn1,0.99,occlusion,200.0,1.0,0.05416666666666666,0.05416666666666666,0.05416666666666666,9.785,0.05300349764112574,0.013839037927844586,0.05416666666666666,0.007932926829268293,0.5087067878639988,0.175,0.495,0.16470015048980713,0.4587426483631134,0.9754
52,syn1,0.99,pagerank,200.0,1.0,0.8641666666666665,0.8641666666666665,0.8641666666666665,2.435,0.9998816495851635,0.4444444444444446,1.0,0.28571428571428564,0.9998816495851633,0.635,0.015,0.5990152955055237,0.0019447148079052567,0.0205
53,syn1,0.99,pgmexplainer,200.0,1.0,0.5908333333333333,0.5908333333333333,0.5908333333333333,5.24,0.9848668049455018,0.37044188491524865,0.8275,0.24110403516291093,0.9110750162680984,0.595,0.245,0.5511952042579651,0.19548042118549347,8.4441
54,syn1,0.99,sa_node,200.0,1.0,0.3745454545454545,0.37416666666666665,0.375,6.96,0.46445705222059536,0.15484966271878417,0.4475,0.09415500974023706,0.7203791483650562,0.32,0.6,0.35650870203971863,0.5715530514717102,0.0028
