dataset,sparsity,explainer_name,num_test_nodes,gpu,f1_score_top,recall_top,precision_top,ged,auc_top,f1_score,recall,precision,auc,fidelity_acc+,fidelity_acc-,fidelity_prob+,fidelity_prob-,mask_sparsity,expl_edges,time,edge_mask size
syn4,0.7,distance,200.0,1.0,0.6267121212121212,0.615,0.6409166666666667,3.3,0.9986261261261262,0.0351352380944671,1.0,0.01788194361374519,0.9986261261261262,1.0,0.0,0.9836810231208801,0.0,0.7004132270812988,580.0,0.0097,1926.44
syn4,0.7,gnnexplainer,200.0,1.0,0.6081818181818182,0.5908333333333333,0.6295000000000001,4.94,0.9981425415800416,0.7919552651361441,1.0,0.672603986699575,0.9981425415800416,1.0,0.0,0.9836810827255249,0.0,0.9901084899902344,19.15,2.7866,19.15
syn4,0.7,ig_node,200.0,1.0,0.858530303030303,0.855,0.8631666666666667,2.195,0.9979084372834371,0.2571164591783639,0.9983333333333333,0.1980276294838739,0.9984905578655578,1.0,0.005,0.9836810231208801,0.030834974721074104,0.7993336319923401,388.49,0.2788,1272.52
syn4,0.7,occlusion,200.0,1.0,0.6071212121212122,0.605,0.6096666666666667,6.61,0.44729231635481637,0.019510081225503205,0.6416666666666667,0.009905636579180789,0.6403331817394318,0.985,0.805,0.9759107828140259,0.8003738522529602,0.7004132270812988,580.0,0.0919,1933.905
syn4,0.7,pagerank,200.0,1.0,0.8391666666666667,0.8391666666666667,0.8391666666666667,2.56,0.9994707207207207,0.04051394591663047,1.0,0.020675803144889916,0.9994707207207207,1.0,0.0,0.9836810827255249,0.0,0.7004132270812988,580.0,0.0139,1933.61
syn4,0.7,pgmexplainer,200.0,1.0,0.9352121212121213,0.9141666666666667,0.9639166666666666,0.885,0.9998977823977825,0.644664714306742,1.0,0.4948179740629616,0.9998977823977825,1.0,0.0,0.9836810231208801,0.0,0.9856507778167725,27.78,7.273,27.78
syn4,0.7,sa_node,200.0,1.0,0.14272727272727273,0.1408333333333333,0.145,6.92,0.14433861746361742,0.0043682992568514715,0.1433333333333333,0.002217947632187656,0.44282830907830906,0.095,1.0,0.23806022107601166,0.9836810231208801,0.7004132270812988,580.0,0.003,1933.28
syn4,0.7,subgraphx,200.0,1.0,0.572969696969697,0.5483333333333333,0.6063333333333333,5.44,0.8034537422037422,0.715181818181818,0.6075,0.8732500000000001,0.8034537422037422,1.0,1.0,0.9836810231208801,0.9474315047264099,0.9956457614898682,8.43,0.3506,8.43
syn4,0.99,distance,200.0,1.0,0.6267121212121212,0.615,0.6409166666666667,3.3,0.9986261261261262,0.679596110373974,0.9858333333333333,0.5200957375957376,0.9604577053014554,1.0,0.31,0.9836810827255249,0.33336013555526733,0.9901858568191528,19.0,0.0068,1926.44
syn4,0.99,gnnexplainer,200.0,1.0,0.6073484848484848,0.5908333333333333,0.6271666666666667,4.91,0.9981645226957727,0.7906226841613838,0.9816666666666667,0.6747387612387612,0.9597131626819128,0.995,0.245,0.9767316579818726,0.22127006947994232,0.9912112355232239,17.015,2.4973,19.15
syn4,0.99,ig_node,200.0,1.0,0.858530303030303,0.855,0.8631666666666667,2.195,0.9979084372834371,0.7350075414781295,0.9891666666666667,0.5881818181818181,0.994179876992377,1.0,0.04,0.9836810231208801,0.08476343005895615,0.9903665781021118,18.65,0.2749,1272.52
syn4,0.99,occlusion,200.0,1.0,0.6071212121212122,0.605,0.6096666666666667,6.61,0.44729231635481637,0.3983058842564832,0.6416666666666667,0.28928784940549646,0.720648497054747,0.985,0.805,0.973778247833252,0.8003738522529602,0.9901858568191528,19.0,0.0922,1933.905
syn4,0.99,pagerank,200.0,1.0,0.8391666666666667,0.8391666666666667,0.8391666666666667,2.56,0.9994707207207207,0.74875,0.9983333333333334,0.5989999999999999,0.9957376126126125,1.0,0.065,0.9836810827255249,0.05955784022808075,0.9901858568191528,19.0,0.013,1933.61
syn4,0.99,pgmexplainer,200.0,1.0,0.9388030303030303,0.9166666666666665,0.9681666666666666,0.83,0.9999038461538461,0.771405300581771,1.0,0.6311363636363635,0.9999038461538461,1.0,0.02,0.9836805462837219,0.015063008293509483,0.9905137419700623,18.365,4.519,27.78
syn4,0.99,sa_node,200.0,1.0,0.14272727272727273,0.1408333333333333,0.145,6.92,0.14433861746361742,0.09497936016511868,0.1433333333333333,0.07111538461538461,0.5677217602217602,0.095,1.0,0.23806022107601166,0.9836810231208801,0.9901858568191528,19.0,0.0031,1933.28
syn4,0.99,subgraphx,200.0,1.0,0.5851212121212122,0.5608333333333334,0.6181666666666668,5.46,0.8059719334719335,0.7212727272727273,0.6125,0.8809999999999999,0.8059719334719335,1.0,1.0,0.9836810231208801,0.9472160339355469,0.9956507682800293,8.42,0.3395,8.42
syn4,0.997,distance,200.0,1.0,0.6267121212121212,0.615,0.6409166666666667,3.3,0.9986261261261262,0.6452323232323232,0.5233333333333333,0.8591666666666665,0.6825602044352044,0.97,1.0,0.9414730668067932,0.9126623272895813,0.9974173903465271,5.0,0.0102,1926.44
syn4,0.997,gnnexplainer,200.0,1.0,0.6154393939393938,0.5991666666666666,0.6351666666666667,4.995,0.9981392931392931,0.5693232323232322,0.49833333333333335,0.6704166666666665,0.6385307302494803,0.815,1.0,0.7813434600830078,0.9831987023353577,0.9974173903465271,5.0,2.7057,19.15
syn4,0.997,ig_node,200.0,1.0,0.858530303030303,0.855,0.8631666666666667,2.195,0.9979084372834371,0.6422222222222222,0.48166666666666663,0.9633333333333333,0.7016330994455994,0.865,1.0,0.868868350982666,0.8910696506500244,0.9974173903465271,5.0,0.3205,1272.52
syn4,0.997,occlusion,200.0,1.0,0.6079545454545454,0.6058333333333333,0.6104999999999999,6.59,0.44728646916146914,0.6582121212121212,0.5433333333333333,0.85075,0.6771381237006238,0.985,1.0,0.9758927822113037,0.9792398810386658,0.9974173903465271,5.0,0.0571,1933.905
syn4,0.997,pagerank,200.0,1.0,0.8391666666666667,0.8391666666666667,0.8391666666666667,2.56,0.9994707207207207,0.6100000000000001,0.4575,0.915,0.6953488825363826,1.0,1.0,0.9817629456520081,0.892770528793335,0.9974173903465271,5.0,0.0134,1933.61
syn4,0.997,pgmexplainer,200.0,1.0,0.9241515151515151,0.8991666666666666,0.9580833333333334,1.015,0.9998717948717949,0.6533333333333334,0.49,0.98,0.7043511781011779,0.82,1.0,0.8258866667747498,0.894390344619751,0.9974173903465271,5.0,6.8353,27.78
syn4,0.997,sa_node,200.0,1.0,0.14272727272727273,0.1408333333333333,0.145,6.92,0.14433861746361742,0.17933333333333334,0.13583333333333333,0.265,0.5664626645876646,0.07,1.0,0.21966572105884552,0.9836810231208801,0.9974173903465271,5.0,0.0053,1933.28
syn4,0.997,subgraphx,200.0,1.0,0.5726212121212122,0.5491666666666667,0.6039166666666667,5.445,0.8021985446985447,0.6292020202020203,0.49666666666666665,0.8714166666666665,0.6829677754677754,0.98,1.0,0.9575470685958862,0.945933997631073,0.9974173903465271,5.0,0.3566,8.42
