,dataset,train_time,seed,device,explainer
0,mutag,315.15350222587585,0,cpu,diffexplainer
1,mutag_large,21931.53454875946,0,cpu,diffexplainer
2,mutag,333.96137404441833,0,cpu,diffexplainer
3,mutag_large,16432.27085995674,0,cpu,diffexplainer
4,mutag_large,16031.281244754791,4,cpu,diffexplainer
5,mutag_large,18540.21086382866,2,cpu,diffexplainer
6,mutag_large,22164.513038396835,1,cpu,diffexplainer
7,mutag_large,16458.71555519104,0,cpu,diffexplainer
8,mutag_large,16463.286409139633,4,cpu,diffexplainer
9,mutag_large,18040.851917266846,2,cpu,diffexplainer
10,mutag_large,16340.507430791855,0,cpu,diffexplainer
11,mutag_large,22530.383110761642,5,cpu,diffexplainer
12,mutag_large,17967.512859344482,2,cpu,diffexplainer
13,mutag_large,16115.600869894028,4,cpu,diffexplainer
14,mutag_large,21994.80867123604,1,cpu,diffexplainer
15,mutag_large,23462.80007958412,5,cpu,diffexplainer
16,mutag_large,30711.03916501999,3,cpu,diffexplainer
17,mutag_large,22455.518995523453,5,cpu,diffexplainer
18,mutag_large,30002.521191358566,1,cpu,diffexplainer
19,mutag_large,21718.526451587677,1,cpu,diffexplainer
20,mutag_large,32354.86862540245,3,cpu,diffexplainer
21,mutag_large,30527.833241939545,3,cpu,diffexplainer
22,mutag_large,22383.01595544815,5,cpu,diffexplainer
23,mutag_large,30921.475848913193,3,cpu,diffexplainer
24,ba_2motifs,2013.214107990265,1,cpu,diffexplainer
25,ba_2motifs,2022.1953463554382,3,cpu,diffexplainer
26,ba_2motifs,2040.3992490768433,0,cpu,diffexplainer
27,ba_2motifs,2015.2310755252838,2,cpu,diffexplainer
28,ba_2motifs,2052.864028930664,4,cpu,diffexplainer
29,ba_2motifs,2015.448377609253,5,cpu,diffexplainer
30,ba_2motifs,1450.2969014644623,0,cpu,diffexplainer
31,mutag_large,245.09544014930725,0,cuda,diffexplainer
32,mutag_large,261.6099445819855,2,cuda,diffexplainer
33,mutag_large,252.45824074745178,4,cuda,diffexplainer
34,ba_2motifs,12.533906936645508,1,cpu,pgexplainer
35,ba_2motifs,14.669850587844849,2,cpu,pgexplainer
36,ba_2motifs,12.578178644180298,0,cpu,pgexplainer
37,ba_2motifs,14.253513097763062,3,cpu,pgexplainer
38,ba_2motifs,12.609700679779053,4,cpu,pgexplainer
39,ba_2motifs,14.428108930587769,5,cpu,pgexplainer
40,mutag,10.934693574905396,0,cpu,pgexplainer
41,mutag,12.232237577438354,1,cpu,pgexplainer
42,mutag,12.361882209777832,2,cpu,pgexplainer
43,mutag,10.906442642211914,3,cpu,pgexplainer
44,mutag,10.91399621963501,4,cpu,pgexplainer
45,mutag,12.475573778152466,5,cpu,pgexplainer
46,ba_2motifs,0.8761520385742181,3,cuda,pgexplainer
47,ba_2motifs,0.8565654754638671,5,cuda,pgexplainer
48,ieee24_mc,21.699418544769287,3,cpu,pgexplainer
49,ieee24_mc,21.820836305618286,1,cpu,pgexplainer
50,ieee24_mc,21.923933267593384,2,cpu,pgexplainer
51,ieee24_mc,14.559708595275879,4,cpu,pgexplainer
52,ieee24_mc,14.521857261657715,4,cpu,pgexplainer
53,ieee24_mc,14.511186122894287,5,cpu,pgexplainer
54,ieee24_mc,14.755811929702759,5,cpu,pgexplainer
55,ieee39_mc,22.529086589813232,1,cpu,pgexplainer
56,ieee39_mc,22.898455381393433,2,cpu,pgexplainer
57,ieee39_mc,22.502023935317993,4,cpu,pgexplainer
58,ieee39_mc,15.01961350440979,5,cpu,pgexplainer
59,ieee39_mc,14.93993592262268,3,cpu,pgexplainer
60,ieee39_mc,15.060383558273315,3,cpu,pgexplainer
61,ieee39_mc,22.102919340133667,5,cpu,pgexplainer
62,uk_mc,16.552961587905884,2,cpu,pgexplainer
63,uk_mc,16.634695529937744,3,cpu,pgexplainer
64,uk_mc,16.924844980239868,1,cpu,pgexplainer
65,uk_mc,25.2812762260437,4,cpu,pgexplainer
66,uk_mc,25.155163288116455,5,cpu,pgexplainer
67,ieee118_mc,32.49067521095276,4,cpu,pgexplainer
68,ieee118_mc,32.27926969528198,5,cpu,pgexplainer
69,ieee118_mc,32.6754412651062,1,cpu,pgexplainer
70,ieee118_mc,31.980545043945312,2,cpu,pgexplainer
71,ieee118_mc,32.3690402507782,3,cpu,pgexplainer
72,ieee118_mc,32.43595814704895,0,cpu,pgexplainer
73,ieee118_mc,32.61429166793823,3,cpu,pgexplainer
74,ieee118_mc,33.19825720787048,1,cpu,pgexplainer
75,ieee118_mc,36.487733602523804,0,cpu,pgexplainer
76,ieee118_mc,37.69080972671509,2,cpu,pgexplainer
77,mutag_large,14.782810688018799,0,cpu,pgexplainer
78,mutag_large,14.64657711982727,1,cpu,pgexplainer
79,mutag_large,14.769729614257812,2,cpu,pgexplainer
80,mutag_large,14.583804607391357,3,cpu,pgexplainer
81,mutag_large,14.945787906646729,4,cpu,pgexplainer
82,mutag_large,14.675768375396729,5,cpu,pgexplainer
83,ba_2motifs,14.685181617736816,0,cpu,pgexplainer
84,ba_2motifs,21.498055458068848,1,cpu,pgexplainer
85,ba_2motifs,21.99604868888855,2,cpu,pgexplainer
86,ba_2motifs,22.10465431213379,3,cpu,pgexplainer
87,ba_2motifs,22.0469012260437,5,cpu,pgexplainer
88,ba_2motifs,21.848225116729736,4,cpu,pgexplainer
89,mutag_large,29.267070293426514,0,cuda,pgexplainer
90,mutag_large,29.447855949401855,1,cuda,pgexplainer
91,mutag_large,29.858283281326294,5,cuda,pgexplainer
92,mutag_large,29.94153904914856,4,cuda,pgexplainer
93,mutag_large,29.879485607147217,2,cuda,pgexplainer
94,mutag_large,29.62177538871765,3,cuda,pgexplainer
95,mutag,237.35745000839233,0,cpu,gflowexplainer
96,mutag,210.32639336585999,3,cpu,gflowexplainer
97,mutag,212.63258457183838,2,cpu,gflowexplainer
98,mutag,156.59570622444153,1,cuda,gflowexplainer
99,mutag,142.50112915039062,4,cuda,gflowexplainer
100,mutag,225.5699760913849,5,cpu,gflowexplainer
101,mutag,144.1826469898224,5,cuda,gflowexplainer
102,ba_2motifs,9126.16453742981,0,cpu,gflowexplainer
103,ba_2motifs,9838.121504306793,4,cpu,gflowexplainer
104,ba_2motifs,10077.651338338852,4,cpu,gflowexplainer
105,ba_2motifs,10147.839426279068,0,cpu,gflowexplainer
106,ba_2motifs,10581.994630098343,2,cpu,gflowexplainer
107,ba_2motifs,10608.665316581726,1,cpu,gflowexplainer
108,ba_2motifs,11135.931662797928,2,cpu,gflowexplainer
109,ba_2motifs,11393.037912368774,0,cpu,gflowexplainer
110,ba_2motifs,11535.063202142715,1,cpu,gflowexplainer
111,ba_2motifs,11669.024448633194,5,cpu,gflowexplainer
112,ba_2motifs,11735.194636821747,3,cpu,gflowexplainer
113,ba_2motifs,11730.708674192429,5,cpu,gflowexplainer
114,ba_2motifs,11792.682021141052,2,cpu,gflowexplainer
115,ba_2motifs,11775.881271123886,0,cpu,gflowexplainer
116,ba_2motifs,11800.673005342484,3,cpu,gflowexplainer
117,ba_2motifs,12025.477110624313,3,cpu,gflowexplainer
118,ba_2motifs,12133.049282073975,5,cpu,gflowexplainer
119,ba_2motifs,12231.887938261032,2,cpu,gflowexplainer
120,ba_2motifs,12051.672501564026,4,cpu,gflowexplainer
121,ba_2motifs,13221.219625711441,4,cpu,gflowexplainer
122,ba_2motifs,13306.111966609955,3,cpu,gflowexplainer
123,ba_2motifs,14103.013439178467,1,cpu,gflowexplainer
124,ba_2motifs,14534.414085388184,1,cpu,gflowexplainer
125,ba_2motifs,14664.882339477539,5,cpu,gflowexplainer
126,ieee39_mc,2150.807463645935,3,cpu,gflowexplainer
127,ieee39_mc,2321.5758492946625,2,cpu,gflowexplainer
128,ieee39_mc,2946.612207889557,4,cpu,gflowexplainer
129,ieee39_mc,3069.693154811859,4,cpu,gflowexplainer
130,ieee24_mc,1385.4084866046906,2,cpu,gflowexplainer
131,ieee24_mc,11565.584789276123,3,cpu,gflowexplainer
132,ieee24_mc,14872.019561290741,3,cpu,gflowexplainer
133,ieee24_mc,17383.02888417244,0,cpu,gflowexplainer
134,ieee24_mc,19457.122949123383,4,cpu,gflowexplainer
135,ieee24_mc,22567.711944580078,5,cpu,gflowexplainer
136,ieee24_mc,25043.508404493332,4,cpu,gflowexplainer
